# Disease orthology table created using a modified version of ConnectOR (https://github.com/cobRNA/ConnectOR-optimized/)
# by Sasti Gopal Das
H_gene_symbol	H_gene_id	H_gene_type	M_gene_id	M_gene_type	orthology_type	gencode_versions
ENSG00000258676	ENSG00000258676.4	lncRNA	ENSMUSG00000108548.1	lncRNA	one-to-many	GENCODE.v27vsM16
MIR124-2HG	ENSG00000254377.5	lncRNA	ENSMUSG00000100252.6	lncRNA	one-to-many	GENCODE.v27vsM16
TEX41	ENSG00000226674.8	lncRNA	ENSMUSG00000086710.1	lncRNA	one-to-one	GENCODE.v27vsM16
CASC18	ENSG00000257859.1	lncRNA	ENSMUSG00000104317.1	lncRNA	one-to-one	GENCODE.v27vsM16
SNHG5	ENSG00000203875.10	lncRNA	ENSMUSG00000097177.8	lncRNA	one-to-many	GENCODE.v27vsM16
SNHG26	ENSG00000228649.8	lncRNA	ENSMUSG00000097180.5	lncRNA	one-to-many	GENCODE.v27vsM16
MKLN1-AS	ENSG00000236753.5	lncRNA	ENSMUSG00000086212.7	lncRNA	one-to-one	GENCODE.v27vsM16
CXXC4-AS1	ENSG00000245384.1	lncRNA	ENSMUSG00000104645.1	lncRNA	many-to-many	GENCODE.v27vsM16
GAS5	ENSG00000234741.7	lncRNA	ENSMUSG00000053332.13	lncRNA	many-to-many	GENCODE.v27vsM16
LINC00649	ENSG00000237945.7	lncRNA	ENSMUSG00000087190.1	lncRNA	one-to-one	GENCODE.v27vsM16
ENSG00000256654	ENSG00000256654.3	lncRNA	ENSMUSG00000102771.1	lncRNA	one-to-many	GENCODE.v27vsM16
LINC01877	ENSG00000238217.5	lncRNA	ENSMUSG00000099945.1	lncRNA	one-to-one	GENCODE.v27vsM16
ARHGEF26-AS1	ENSG00000243069.7	lncRNA	ENSMUSG00000103502.1	lncRNA	one-to-one	GENCODE.v27vsM16
CASC15	ENSG00000272168.6	lncRNA	ENSMUSG00000113216.1	lncRNA	one-to-many	GENCODE.v27vsM16
ENSG00000273244	ENSG00000273244.1	lncRNA	ENSMUSG00000074404.6	lncRNA	many-to-many	GENCODE.v27vsM16
PVT1	ENSG00000249859.9	lncRNA	ENSMUSG00000097039.8	lncRNA	many-to-many	GENCODE.v27vsM16
ZFAS1	ENSG00000177410.12	lncRNA	ENSMUSG00000074578.13	lncRNA	many-to-many	GENCODE.v27vsM16
SNHG6	ENSG00000245910.8	lncRNA	ENSMUSG00000098234.7	lncRNA	many-to-many	GENCODE.v27vsM16
LINC02502	ENSG00000250392.2	lncRNA	ENSMUSG00000105662.4	lncRNA	many-to-many	GENCODE.v27vsM16
SNHG1	ENSG00000255717.6	lncRNA	ENSMUSG00000108414.1	lncRNA	one-to-many	GENCODE.v27vsM16
LINC01094	ENSG00000251442.5	lncRNA	ENSMUSG00000105257.1	lncRNA	one-to-one	GENCODE.v27vsM16
DLEU2	ENSG00000231607.10	lncRNA	ENSMUSG00000097589.9	lncRNA	many-to-many	GENCODE.v27vsM16
LINC00938	ENSG00000273015.2	lncRNA	ENSMUSG00000097536.2	lncRNA	one-to-one	GENCODE.v27vsM16
THAP9-AS1	ENSG00000251022.6	lncRNA	ENSMUSG00000097772.7	lncRNA	one-to-many	GENCODE.v27vsM16
LINC00434	ENSG00000227336.1	lncRNA	ENSMUSG00000102284.1	lncRNA	one-to-one	GENCODE.v27vsM16
CXXC4-AS1	ENSG00000245384.1	lncRNA	ENSMUSG00000106069.1	lncRNA	many-to-many	GENCODE.v27vsM16
SNHG4	ENSG00000281398.2	lncRNA	ENSMUSG00000097769.7	lncRNA	many-to-many	GENCODE.v27vsM16
SNHG9	ENSG00000255198.4	lncRNA	ENSMUSG00000090101.1	lncRNA	one-to-many	GENCODE.v27vsM16
NORAD	ENSG00000260032.1	lncRNA	ENSMUSG00000102869.2	lncRNA	one-to-many	GENCODE.v27vsM16
SAP30L-AS1	ENSG00000245275.7	lncRNA	ENSMUSG00000087165.7	lncRNA	one-to-one	GENCODE.v27vsM16
MEG8	ENSG00000225746.9	lncRNA	ENSMUSG00000097451.10	lncRNA	one-to-many	GENCODE.v27vsM16
F11-AS1	ENSG00000251165.5	lncRNA	ENSMUSG00000110260.1	lncRNA	one-to-one	GENCODE.v27vsM16
LINC01490	ENSG00000257741.5	lncRNA	ENSMUSG00000102934.1	lncRNA	one-to-one	GENCODE.v27vsM16
LINC02084	ENSG00000272282.1	lncRNA	ENSMUSG00000110692.1	lncRNA	one-to-one	GENCODE.v27vsM16
LINC-PINT	ENSG00000231721.6	lncRNA	ENSMUSG00000044471.11	lncRNA	one-to-one	GENCODE.v27vsM16
LINC02490	ENSG00000259237.1	lncRNA	ENSMUSG00000101526.1	lncRNA	one-to-one	GENCODE.v27vsM16
CARMN	ENSG00000249669.9	lncRNA	ENSMUSG00000097324.8	lncRNA	one-to-many	GENCODE.v27vsM16
LNC-LBCS	ENSG00000228412.7	lncRNA	ENSMUSG00000097622.2	lncRNA	one-to-many	GENCODE.v27vsM16
LINC00892	ENSG00000233093.5	lncRNA	ENSMUSG00000085808.1	lncRNA	one-to-one	GENCODE.v27vsM16
MIR155HG	ENSG00000234883.5	lncRNA	ENSMUSG00000097418.7	lncRNA	many-to-many	GENCODE.v27vsM16
SOX2-OT	ENSG00000242808.7	lncRNA	ENSMUSG00000104901.1	lncRNA	many-to-many	GENCODE.v27vsM16
LINC00174	ENSG00000179406.7	lncRNA	ENSMUSG00000086920.1	lncRNA	many-to-many	GENCODE.v27vsM16
LINC01412	ENSG00000232606.1	lncRNA	ENSMUSG00000100135.1	lncRNA	one-to-one	GENCODE.v27vsM16
PACERR	ENSG00000273129.1	lncRNA	ENSMUSG00000097028.2	lncRNA	one-to-one	GENCODE.v27vsM16
MROCKI	ENSG00000227502.2	lncRNA	ENSMUSG00000103299.1	lncRNA	one-to-many	GENCODE.v27vsM16
LINC00426	ENSG00000238121.5	lncRNA	ENSMUSG00000108207.2	lncRNA	one-to-one	GENCODE.v27vsM16
LINC00380	ENSG00000234625.1	lncRNA	ENSMUSG00000103140.1	lncRNA	one-to-one	GENCODE.v27vsM16
LINC01712	ENSG00000231364.2	lncRNA	ENSMUSG00000103302.1	lncRNA	one-to-many	GENCODE.v27vsM16
LINC00945	ENSG00000232539.1	lncRNA	ENSMUSG00000102958.1	lncRNA	one-to-one	GENCODE.v27vsM16
RMST	ENSG00000255794.7	lncRNA	ENSMUSG00000112117.1	lncRNA	many-to-many	GENCODE.v27vsM16
LINC02465	ENSG00000249618.5	lncRNA	ENSMUSG00000103426.1	lncRNA	one-to-one	GENCODE.v27vsM16
SNHG5	ENSG00000203875.10	lncRNA	ENSMUSG00000097073.7	lncRNA	one-to-many	GENCODE.v27vsM16
ENSG00000283341	ENSG00000283341.1	lncRNA	ENSMUSG00000075020.6	lncRNA	many-to-many	GENCODE.v27vsM16
PLCE1-AS1	ENSG00000268894.6	lncRNA	ENSMUSG00000101079.1	lncRNA	one-to-one	GENCODE.v27vsM16
ENSG00000256654	ENSG00000256654.3	lncRNA	ENSMUSG00000102771.1	lncRNA	many-to-many	GENCODE.v27vsM16
LINC00354	ENSG00000226903.1	lncRNA	ENSMUSG00000101899.1	lncRNA	one-to-one	GENCODE.v27vsM16
ENSG00000244550	ENSG00000244550.1	lncRNA	ENSMUSG00000106583.1	lncRNA	many-to-many	GENCODE.v27vsM16
DLGAP1-AS1	ENSG00000177337.7	lncRNA	ENSMUSG00000097282.1	lncRNA	one-to-one	GENCODE.v27vsM16
ROCR	ENSG00000228639.6	lncRNA	ENSMUSG00000041674.16	lncRNA	one-to-many	GENCODE.v27vsM16
HAND2-AS1	ENSG00000237125.8	lncRNA	ENSMUSG00000100510.7	lncRNA	many-to-many	GENCODE.v27vsM16
ENSG00000280227	ENSG00000280227.1	lncRNA	ENSMUSG00000110377.1	lncRNA	many-to-many	GENCODE.v27vsM16
LINC00589	ENSG00000251191.7	lncRNA	ENSMUSG00000110015.1	lncRNA	one-to-one	GENCODE.v27vsM16
POC1B-AS1	ENSG00000270344.2	lncRNA	ENSMUSG00000112346.1	lncRNA	one-to-one	GENCODE.v27vsM16
ENSG00000280147	ENSG00000280147.1	lncRNA	ENSMUSG00000109819.1	lncRNA	one-to-one	GENCODE.v27vsM16
WDFY3-AS2	ENSG00000180769.8	lncRNA	ENSMUSG00000106492.1	lncRNA	one-to-one	GENCODE.v27vsM16
PAX8-AS1	ENSG00000189223.14	lncRNA	ENSMUSG00000085057.7	lncRNA	one-to-many	GENCODE.v27vsM16
TRAF3IP2-AS1	ENSG00000231889.7	lncRNA	ENSMUSG00000087177.7	lncRNA	one-to-many	GENCODE.v27vsM16
PRC1-AS1	ENSG00000258725.1	lncRNA	ENSMUSG00000097912.1	lncRNA	one-to-many	GENCODE.v27vsM16
FMR1-AS1	ENSG00000268066.5	lncRNA	ENSMUSG00000096946.1	lncRNA	many-to-many	GENCODE.v27vsM16
LINC01052	ENSG00000234767.1	lncRNA	ENSMUSG00000103410.1	lncRNA	one-to-one	GENCODE.v27vsM16
MKNK1-AS1	ENSG00000269956.1	lncRNA	ENSMUSG00000100081.1	lncRNA	one-to-many	GENCODE.v27vsM16
NR2F1-AS1	ENSG00000237187.8	lncRNA	ENSMUSG00000114632.1	lncRNA	one-to-many	GENCODE.v27vsM16
LOXL2-AS1	ENSG00000253837.1	lncRNA	ENSMUSG00000103720.1	lncRNA	many-to-many	GENCODE.v27vsM16
CD81-AS1	ENSG00000238184.1	lncRNA	ENSMUSG00000059277.12	lncRNA	one-to-one	GENCODE.v27vsM16
GLYCTK-AS1	ENSG00000242797.3	lncRNA	ENSMUSG00000086296.2	lncRNA	one-to-many	GENCODE.v27vsM16
MIR133A1HG	ENSG00000265142.8	lncRNA	ENSMUSG00000095438.1	lncRNA	one-to-many	GENCODE.v27vsM16
NORAD	ENSG00000260032.1	lncRNA	ENSMUSG00000102869.2	lncRNA	many-to-many	GENCODE.v27vsM16
LINC01495	ENSG00000255323.5	lncRNA	ENSMUSG00000102124.1	lncRNA	one-to-one	GENCODE.v27vsM16
LINC02207	ENSG00000258476.5	lncRNA	ENSMUSG00000100138.1	lncRNA	one-to-many	GENCODE.v27vsM16
ZBTB11-AS1	ENSG00000256628.3	lncRNA	ENSMUSG00000102101.1	lncRNA	one-to-one	GENCODE.v27vsM16
NR2F2-AS1	ENSG00000247809.7	lncRNA	ENSMUSG00000100005.7	lncRNA	one-to-many	GENCODE.v27vsM16
ENSG00000235020	ENSG00000235020.4	lncRNA	ENSMUSG00000104106.1	lncRNA	one-to-many	GENCODE.v27vsM16
TP53TG1	ENSG00000182165.17	lncRNA	ENSMUSG00000102921.1	lncRNA	one-to-one	GENCODE.v27vsM16
ENSG00000280247	ENSG00000280247.1	lncRNA	ENSMUSG00000097077.1	lncRNA	one-to-one	GENCODE.v27vsM16
TRDN-AS1	ENSG00000235535.7	lncRNA	ENSMUSG00000112707.1	lncRNA	one-to-one	GENCODE.v27vsM16
LINC02356	ENSG00000257595.2	lncRNA	ENSMUSG00000104719.1	lncRNA	one-to-many	GENCODE.v27vsM16
GSEC	ENSG00000280832.1	lncRNA	ENSMUSG00000070315.12	lncRNA	one-to-one	GENCODE.v27vsM16
LINC02514	ENSG00000250042.1	lncRNA	ENSMUSG00000102378.1	lncRNA	one-to-one	GENCODE.v27vsM16
MIR29B2CHG	ENSG00000203709.11	lncRNA	ENSMUSG00000096929.7	lncRNA	many-to-many	GENCODE.v27vsM16
ELDR	ENSG00000280890.1	lncRNA	ENSMUSG00000087060.7	lncRNA	many-to-many	GENCODE.v27vsM16
SNHG5	ENSG00000203875.10	lncRNA	ENSMUSG00000097195.9	lncRNA	one-to-many	GENCODE.v27vsM16
ENSG00000282897	ENSG00000282897.1	lncRNA	ENSMUSG00000086139.1	lncRNA	one-to-one	GENCODE.v27vsM16
MIR205HG	ENSG00000230937.11	lncRNA	ENSMUSG00000097850.2	lncRNA	many-to-many	GENCODE.v27vsM16
MIR99AHG	ENSG00000215386.11	lncRNA	ENSMUSG00000090386.9	lncRNA	one-to-one	GENCODE.v27vsM16
SNHG5	ENSG00000203875.10	lncRNA	ENSMUSG00000097177.8	lncRNA	many-to-many	GENCODE.v27vsM16
KDM7A-DT	ENSG00000260231.1	lncRNA	ENSMUSG00000115026.1	lncRNA	one-to-one	GENCODE.v27vsM16
ENSG00000258676	ENSG00000258676.4	lncRNA	ENSMUSG00000074067.9	lncRNA	one-to-many	GENCODE.v27vsM16
MIATNB	ENSG00000244625.5	lncRNA	ENSMUSG00000097767.8	lncRNA	one-to-many	GENCODE.v27vsM16
LINC01087	ENSG00000224559.2	lncRNA	ENSMUSG00000074404.6	lncRNA	many-to-many	GENCODE.v27vsM16
ENSG00000253104	ENSG00000253104.1	lncRNA	ENSMUSG00000103296.1	lncRNA	one-to-many	GENCODE.v27vsM16
LINC01142	ENSG00000224286.5	lncRNA	ENSMUSG00000101869.1	lncRNA	one-to-one	GENCODE.v27vsM16
CRNDE	ENSG00000245694.9	lncRNA	ENSMUSG00000095651.1	lncRNA	one-to-many	GENCODE.v27vsM16
ENSG00000273328	ENSG00000273328.5	lncRNA	ENSMUSG00000043773.5	lncRNA	many-to-many	GENCODE.v27vsM16
FAM181A-AS1	ENSG00000258584.1	lncRNA	ENSMUSG00000100789.6	lncRNA	one-to-one	GENCODE.v27vsM16
SNHG29	ENSG00000175061.17	lncRNA	ENSMUSG00000085170.1	lncRNA	one-to-many	GENCODE.v27vsM16
LINC01348	ENSG00000280587.1	lncRNA	ENSMUSG00000110697.1	lncRNA	one-to-many	GENCODE.v27vsM16
LINC00427	ENSG00000236463.1	lncRNA	ENSMUSG00000085639.1	lncRNA	one-to-one	GENCODE.v27vsM16
HAGLR	ENSG00000224189.6	lncRNA	ENSMUSG00000075277.4	lncRNA	one-to-one	GENCODE.v27vsM16
MIR202HG	ENSG00000166917.10	lncRNA	ENSMUSG00000085354.1	lncRNA	many-to-many	GENCODE.v27vsM16
CHASERR	ENSG00000272888.5	lncRNA	ENSMUSG00000108319.1	lncRNA	many-to-many	GENCODE.v27vsM16
PSMA3-AS1	ENSG00000257621.7	lncRNA	ENSMUSG00000085622.9	lncRNA	one-to-many	GENCODE.v27vsM16
ENSG00000273244	ENSG00000273244.1	lncRNA	ENSMUSG00000110554.1	lncRNA	many-to-many	GENCODE.v27vsM16
ENSG00000231183	ENSG00000231183.3	lncRNA	ENSMUSG00000103302.1	lncRNA	one-to-many	GENCODE.v27vsM16
BASP1-AS1	ENSG00000215196.4	lncRNA	ENSMUSG00000115729.1	lncRNA	one-to-many	GENCODE.v27vsM16
NDUFB2-AS1	ENSG00000240889.1	lncRNA	ENSMUSG00000086582.1	lncRNA	one-to-one	GENCODE.v27vsM16
TUSC8	ENSG00000237361.2	lncRNA	ENSMUSG00000115092.1	lncRNA	one-to-one	GENCODE.v27vsM16
CT70	ENSG00000230013.1	lncRNA	ENSMUSG00000087192.7	lncRNA	one-to-one	GENCODE.v27vsM16
ENSG00000273244	ENSG00000273244.1	lncRNA	ENSMUSG00000072723.10	lncRNA	many-to-many	GENCODE.v27vsM16
LINC00588	ENSG00000215117.5	lncRNA	ENSMUSG00000079171.3	lncRNA	many-to-many	GENCODE.v27vsM16
NR2F2-AS1	ENSG00000247809.7	lncRNA	ENSMUSG00000109028.1	lncRNA	one-to-many	GENCODE.v27vsM16
SERTAD4-AS1	ENSG00000203706.8	lncRNA	ENSMUSG00000089812.2	lncRNA	one-to-one	GENCODE.v27vsM16
SNHG9	ENSG00000255198.4	lncRNA	ENSMUSG00000090101.1	lncRNA	many-to-many	GENCODE.v27vsM16
LINC01588	ENSG00000214900.9	lncRNA	ENSMUSG00000113035.1	lncRNA	many-to-many	GENCODE.v27vsM16
MEG8	ENSG00000225746.9	lncRNA	ENSMUSG00000097451.10	lncRNA	many-to-many	GENCODE.v27vsM16
LINC00278	ENSG00000231535.5	lncRNA	ENSMUSG00000100780.1	lncRNA	one-to-many	GENCODE.v27vsM16
LINC01270	ENSG00000203999.8	lncRNA	ENSMUSG00000084797.1	lncRNA	one-to-many	GENCODE.v27vsM16
ZNF503-AS1	ENSG00000226051.6	lncRNA	ENSMUSG00000104232.1	lncRNA	one-to-one	GENCODE.v27vsM16
ZEB1-AS1	ENSG00000237036.4	lncRNA	ENSMUSG00000103138.1	lncRNA	one-to-many	GENCODE.v27vsM16
NPSR1-AS1	ENSG00000197085.11	lncRNA	ENSMUSG00000085969.1	lncRNA	one-to-one	GENCODE.v27vsM16
SNHG8	ENSG00000269893.6	lncRNA	ENSMUSG00000104960.1	lncRNA	many-to-many	GENCODE.v27vsM16
LINC01752	ENSG00000224961.1	lncRNA	ENSMUSG00000099683.1	lncRNA	one-to-one	GENCODE.v27vsM16
LINC01270	ENSG00000203999.8	lncRNA	ENSMUSG00000087624.1	lncRNA	one-to-many	GENCODE.v27vsM16
LINC02532	ENSG00000235142.7	lncRNA	ENSMUSG00000111422.1	lncRNA	one-to-many	GENCODE.v27vsM16
LINC00588	ENSG00000215117.5	lncRNA	ENSMUSG00000072723.10	lncRNA	many-to-many	GENCODE.v27vsM16
ENSG00000258294	ENSG00000258294.5	lncRNA	ENSMUSG00000104006.1	lncRNA	one-to-one	GENCODE.v27vsM16
MIR217HG	ENSG00000226702.1	lncRNA	ENSMUSG00000084966.1	lncRNA	one-to-one	GENCODE.v27vsM16
MALAT1	ENSG00000251562.7	lncRNA	ENSMUSG00000092341.2	lncRNA	one-to-many	GENCODE.v27vsM16
ENSG00000261864	ENSG00000261864.1	lncRNA	ENSMUSG00000110457.1	lncRNA	many-to-many	GENCODE.v27vsM16
SNHG18	ENSG00000250786.1	lncRNA	ENSMUSG00000096956.2	lncRNA	one-to-one	GENCODE.v27vsM16
ANKRD62P1-PARP4P3	ENSG00000189295.13	lncRNA	ENSMUSG00000110554.1	lncRNA	many-to-many	GENCODE.v27vsM16
BAALC-AS1	ENSG00000247081.7	lncRNA	ENSMUSG00000097875.2	lncRNA	one-to-one	GENCODE.v27vsM16
SATB1-AS1	ENSG00000228956.8	lncRNA	ENSMUSG00000102600.1	lncRNA	one-to-many	GENCODE.v27vsM16
STXBP5-AS1	ENSG00000233452.6	lncRNA	ENSMUSG00000109160.1	lncRNA	one-to-many	GENCODE.v27vsM16
LINC00880	ENSG00000243629.1	lncRNA	ENSMUSG00000103440.1	lncRNA	one-to-one	GENCODE.v27vsM16
CHASERR	ENSG00000272888.5	lncRNA	ENSMUSG00000101970.6	lncRNA	one-to-many	GENCODE.v27vsM16
MAILR	ENSG00000253320.5	lncRNA	ENSMUSG00000115546.1	lncRNA	one-to-one	GENCODE.v27vsM16
BACE1-AS	ENSG00000278768.1	lncRNA	ENSMUSG00000111128.1	lncRNA	one-to-many	GENCODE.v27vsM16
ENSG00000254519	ENSG00000254519.3	lncRNA	ENSMUSG00000085293.2	lncRNA	one-to-one	GENCODE.v27vsM16
LINC02384	ENSG00000251301.6	lncRNA	ENSMUSG00000102896.1	lncRNA	one-to-one	GENCODE.v27vsM16
HOXD-AS2	ENSG00000237380.6	lncRNA	ENSMUSG00000100209.1	lncRNA	one-to-many	GENCODE.v27vsM16
ENSG00000274204	ENSG00000274204.1	lncRNA	ENSMUSG00000108912.1	lncRNA	one-to-one	GENCODE.v27vsM16
USP2-AS1	ENSG00000245248.7	lncRNA	ENSMUSG00000111415.1	lncRNA	many-to-many	GENCODE.v27vsM16
SNHG19	ENSG00000260260.1	lncRNA	ENSMUSG00000093565.1	lncRNA	one-to-many	GENCODE.v27vsM16
ENSG00000279900	ENSG00000279900.1	lncRNA	ENSMUSG00000074024.5	lncRNA	one-to-many	GENCODE.v27vsM16
HNF4A-AS1	ENSG00000229005.2	lncRNA	ENSMUSG00000046840.16	lncRNA	one-to-one	GENCODE.v27vsM16
LINC02202	ENSG00000245812.2	lncRNA	ENSMUSG00000102563.1	lncRNA	one-to-many	GENCODE.v27vsM16
LINC01798	ENSG00000232046.6	lncRNA	ENSMUSG00000099449.1	lncRNA	one-to-one	GENCODE.v27vsM16
LINC02393	ENSG00000256597.2	lncRNA	ENSMUSG00000105490.1	lncRNA	one-to-one	GENCODE.v27vsM16
HAS2-AS1	ENSG00000248690.6	lncRNA	ENSMUSG00000086541.8	lncRNA	one-to-one	GENCODE.v27vsM16
LINC01163	ENSG00000280953.2	lncRNA	ENSMUSG00000109898.1	lncRNA	one-to-one	GENCODE.v27vsM16
SNHG10	ENSG00000247092.6	lncRNA	ENSMUSG00000113722.1	lncRNA	one-to-one	GENCODE.v27vsM16
LINC01913	ENSG00000214691.7	lncRNA	ENSMUSG00000100154.1	lncRNA	one-to-one	GENCODE.v27vsM16
C10orf71-AS1	ENSG00000236208.1	lncRNA	ENSMUSG00000101086.2	lncRNA	one-to-one	GENCODE.v27vsM16
ENSG00000272477	ENSG00000272477.1	lncRNA	ENSMUSG00000103216.1	lncRNA	one-to-one	GENCODE.v27vsM16
MIR133A1HG	ENSG00000265142.8	lncRNA	ENSMUSG00000095438.1	lncRNA	many-to-many	GENCODE.v27vsM16
LINC00852	ENSG00000231177.4	lncRNA	ENSMUSG00000097994.1	lncRNA	one-to-one	GENCODE.v27vsM16
TFAP2A-AS1	ENSG00000229950.1	lncRNA	ENSMUSG00000097752.2	lncRNA	one-to-one	GENCODE.v27vsM16
LOXL2-AS1	ENSG00000253837.1	lncRNA	ENSMUSG00000103065.1	lncRNA	many-to-many	GENCODE.v27vsM16
ENSG00000259053	ENSG00000259053.1	lncRNA	ENSMUSG00000093465.1	lncRNA	many-to-many	GENCODE.v27vsM16
TMEM161B-DT	ENSG00000247828.7	lncRNA	ENSMUSG00000098087.1	lncRNA	one-to-many	GENCODE.v27vsM16
LINC00943	ENSG00000189238.5	lncRNA	ENSMUSG00000104175.1	lncRNA	one-to-one	GENCODE.v27vsM16
