# Disease orthology table created using a modified version of ConnectOR (https://github.com/cobRNA/ConnectOR-optimized/)
# by Sasti Gopal Das
H_gene_symbol	H_gene_id	H_gene_type	M_gene_id	M_gene_type	orthology_type	gencode_versions
PSMA3-AS1	ENSG00000257621.10	lncRNA	ENSMUSG00000085622.11	lncRNA	one-to-many	GENCODE.v47vsM36
LINC01735	ENSG00000261453.2	lncRNA	ENSMUSG00000131226.1	lncRNA	one-to-one	GENCODE.v47vsM36
HOXC-AS1	ENSG00000250451.6	lncRNA	ENSMUSG00000135994.1	lncRNA	one-to-one	GENCODE.v47vsM36
MIR646HG	ENSG00000228340.9	lncRNA	ENSMUSG00000129560.1	lncRNA	one-to-one	GENCODE.v47vsM36
LINC01053	ENSG00000238169.3	lncRNA	ENSMUSG00000131431.1	lncRNA	one-to-one	GENCODE.v47vsM36
UBAC2-AS1	ENSG00000228889.10	lncRNA	ENSMUSG00000130651.1	lncRNA	many-to-many	GENCODE.v47vsM36
CAHM	ENSG00000270419.3	lncRNA	ENSMUSG00000130819.1	lncRNA	one-to-many	GENCODE.v47vsM36
TMEM161B-DT	ENSG00000247828.11	lncRNA	ENSMUSG00000097292.4	lncRNA	one-to-many	GENCODE.v47vsM36
PGM5-AS1	ENSG00000224958.7	lncRNA	ENSMUSG00000137730.1	lncRNA	one-to-many	GENCODE.v47vsM36
LINC01780	ENSG00000232650.6	lncRNA	ENSMUSG00000085121.4	lncRNA	one-to-one	GENCODE.v47vsM36
ANKRD36BP2	ENSG00000291127.2	lncRNA	ENSMUSG00000110554.4	lncRNA	many-to-many	GENCODE.v47vsM36
ENSG00000266446	ENSG00000266446.1	lncRNA	ENSMUSG00000129789.1	lncRNA	many-to-many	GENCODE.v47vsM36
THAP7-AS1	ENSG00000230513.5	lncRNA	ENSMUSG00000116898.4	lncRNA	many-to-many	GENCODE.v47vsM36
LMLN-AS1	ENSG00000232832.2	lncRNA	ENSMUSG00000084951.3	lncRNA	many-to-many	GENCODE.v47vsM36
LINC01087	ENSG00000224559.2	lncRNA	ENSMUSG00000074404.7	lncRNA	many-to-many	GENCODE.v47vsM36
DLGAP4-AS1	ENSG00000232907.10	lncRNA	ENSMUSG00000087179.11	lncRNA	many-to-many	GENCODE.v47vsM36
LINC02018	ENSG00000272690.7	lncRNA	ENSMUSG00000124377.1	lncRNA	many-to-many	GENCODE.v47vsM36
SNHG26	ENSG00000228649.12	lncRNA	ENSMUSG00000097180.8	lncRNA	one-to-many	GENCODE.v47vsM36
ENSG00000267827	ENSG00000267827.5	lncRNA	ENSMUSG00000140910.1	lncRNA	many-to-many	GENCODE.v47vsM36
SP2-AS1	ENSG00000234494.9	lncRNA	ENSMUSG00000078700.13	lncRNA	one-to-many	GENCODE.v47vsM36
UBAC2-AS1	ENSG00000228889.10	lncRNA	ENSMUSG00000137217.1	lncRNA	many-to-many	GENCODE.v47vsM36
OR7E47P	ENSG00000290965.2	lncRNA	ENSMUSG00000125056.1	lncRNA	many-to-many	GENCODE.v47vsM36
LINC02004	ENSG00000240006.3	lncRNA	ENSMUSG00000141848.1	lncRNA	one-to-one	GENCODE.v47vsM36
LINC01399	ENSG00000293220.2	lncRNA	ENSMUSG00000126353.1	lncRNA	many-to-many	GENCODE.v47vsM36
CXXC4-AS1	ENSG00000245384.3	lncRNA	ENSMUSG00000104645.2	lncRNA	many-to-many	GENCODE.v47vsM36
GUSBP11	ENSG00000228315.13	lncRNA	ENSMUSG00000128664.1	lncRNA	many-to-many	GENCODE.v47vsM36
ENSG00000215765	ENSG00000215765.3	lncRNA	ENSMUSG00000127531.1	lncRNA	many-to-many	GENCODE.v47vsM36
ANKRD62P1-PARP4P3	ENSG00000189295.13	lncRNA	ENSMUSG00000084951.3	lncRNA	many-to-many	GENCODE.v47vsM36
UBAC2-AS1	ENSG00000228889.10	lncRNA	ENSMUSG00000121652.2	lncRNA	many-to-many	GENCODE.v47vsM36
LINC01815	ENSG00000235519.4	lncRNA	ENSMUSG00000138375.1	lncRNA	many-to-many	GENCODE.v47vsM36
LINC01837	ENSG00000267489.6	lncRNA	ENSMUSG00000141751.1	lncRNA	many-to-many	GENCODE.v47vsM36
STARD4-AS1	ENSG00000246859.4	lncRNA	ENSMUSG00000125073.1	lncRNA	one-to-one	GENCODE.v47vsM36
LINC01664	ENSG00000235478.7	lncRNA	ENSMUSG00000132549.1	lncRNA	one-to-one	GENCODE.v47vsM36
GUSBP11	ENSG00000228315.13	lncRNA	ENSMUSG00000126802.1	lncRNA	many-to-many	GENCODE.v47vsM36
PKN2-AS1	ENSG00000237505.9	lncRNA	ENSMUSG00000105652.4	lncRNA	many-to-many	GENCODE.v47vsM36
ENSG00000280062	ENSG00000280062.1	lncRNA	ENSMUSG00000124945.1	lncRNA	many-to-many	GENCODE.v47vsM36
LINC01936	ENSG00000235997.5	lncRNA	ENSMUSG00000120305.2	lncRNA	one-to-one	GENCODE.v47vsM36
POLR2J4	ENSG00000290758.3	lncRNA	ENSMUSG00000127433.1	lncRNA	many-to-many	GENCODE.v47vsM36
ENSG00000225649	ENSG00000225649.8	lncRNA	ENSMUSG00000127953.1	lncRNA	many-to-many	GENCODE.v47vsM36
SIAH2-AS1	ENSG00000244265.3	lncRNA	ENSMUSG00000097725.6	lncRNA	many-to-many	GENCODE.v47vsM36
MEIS1-AS2	ENSG00000230749.6	lncRNA	ENSMUSG00000087507.3	lncRNA	one-to-many	GENCODE.v47vsM36
POLR2J4	ENSG00000290758.3	lncRNA	ENSMUSG00000139720.1	lncRNA	many-to-many	GENCODE.v47vsM36
RBM26-AS1	ENSG00000227354.8	lncRNA	ENSMUSG00000120914.2	lncRNA	one-to-one	GENCODE.v47vsM36
ENSG00000280383	ENSG00000280383.1	lncRNA	ENSMUSG00000125699.1	lncRNA	many-to-many	GENCODE.v47vsM36
PKN2-AS1	ENSG00000237505.9	lncRNA	ENSMUSG00000106550.3	lncRNA	many-to-many	GENCODE.v47vsM36
MIATNB	ENSG00000244625.8	lncRNA	ENSMUSG00000131045.1	lncRNA	one-to-many	GENCODE.v47vsM36
ENSG00000225649	ENSG00000225649.8	lncRNA	ENSMUSG00000141786.1	lncRNA	many-to-many	GENCODE.v47vsM36
GNAS-AS1	ENSG00000235590.10	lncRNA	ENSMUSG00000086537.10	lncRNA	many-to-many	GENCODE.v47vsM36
MNX1-AS1	ENSG00000243479.4	lncRNA	ENSMUSG00000134061.1	lncRNA	many-to-many	GENCODE.v47vsM36
MIATNB	ENSG00000244625.8	lncRNA	ENSMUSG00000097767.11	lncRNA	many-to-many	GENCODE.v47vsM36
LUCAT1	ENSG00000248323.9	lncRNA	ENSMUSG00000097098.10	lncRNA	one-to-many	GENCODE.v47vsM36
HOXD-AS2	ENSG00000237380.8	lncRNA	ENSMUSG00000052371.7	lncRNA	one-to-many	GENCODE.v47vsM36
LINC01800	ENSG00000234572.2	lncRNA	ENSMUSG00000124468.1	lncRNA	one-to-many	GENCODE.v47vsM36
BMS1P4	ENSG00000271816.1	lncRNA	ENSMUSG00000128664.1	lncRNA	many-to-many	GENCODE.v47vsM36
LINC01965	ENSG00000256637.10	lncRNA	ENSMUSG00000100832.4	lncRNA	one-to-one	GENCODE.v47vsM36
ENSG00000284052	ENSG00000284052.2	lncRNA	ENSMUSG00000128193.1	lncRNA	many-to-many	GENCODE.v47vsM36
LINC01837	ENSG00000267489.6	lncRNA	ENSMUSG00000121786.2	lncRNA	many-to-many	GENCODE.v47vsM36
NRSN2-AS1	ENSG00000225377.7	lncRNA	ENSMUSG00000138200.1	lncRNA	one-to-one	GENCODE.v47vsM36
ENSG00000278893	ENSG00000278893.1	lncRNA	ENSMUSG00000121345.2	lncRNA	many-to-many	GENCODE.v47vsM36
CYP4F35P	ENSG00000290461.2	lncRNA	ENSMUSG00000130761.1	lncRNA	many-to-many	GENCODE.v47vsM36
LINC01213	ENSG00000244541.7	lncRNA	ENSMUSG00000104586.3	lncRNA	one-to-one	GENCODE.v47vsM36
CDKN2B-AS1	ENSG00000240498.10	lncRNA	ENSMUSG00000129789.1	lncRNA	many-to-many	GENCODE.v47vsM36
ITGA9-AS1	ENSG00000235257.12	lncRNA	ENSMUSG00000124003.1	lncRNA	one-to-many	GENCODE.v47vsM36
LINC01588	ENSG00000214900.14	lncRNA	ENSMUSG00000113035.4	lncRNA	many-to-many	GENCODE.v47vsM36
LINC02228	ENSG00000251273.5	lncRNA	ENSMUSG00000128663.1	lncRNA	many-to-many	GENCODE.v47vsM36
EPHA5-AS1	ENSG00000250846.7	lncRNA	ENSMUSG00000132128.1	lncRNA	one-to-one	GENCODE.v47vsM36
LINC02217	ENSG00000248455.9	lncRNA	ENSMUSG00000103315.2	lncRNA	one-to-many	GENCODE.v47vsM36
DLGAP4-AS1	ENSG00000232907.10	lncRNA	ENSMUSG00000132765.1	lncRNA	many-to-many	GENCODE.v47vsM36
BARX1-DT	ENSG00000235601.2	lncRNA	ENSMUSG00000132612.1	lncRNA	one-to-one	GENCODE.v47vsM36
FIRRE	ENSG00000213468.8	lncRNA	ENSMUSG00000119984.2	lncRNA	many-to-many	GENCODE.v47vsM36
OIP5-AS1	ENSG00000247556.8	lncRNA	ENSMUSG00000085438.4	lncRNA	many-to-many	GENCODE.v47vsM36
LINC01518	ENSG00000233515.3	lncRNA	ENSMUSG00000130761.1	lncRNA	many-to-many	GENCODE.v47vsM36
SNAP25-AS1	ENSG00000227906.11	lncRNA	ENSMUSG00000136031.1	lncRNA	one-to-many	GENCODE.v47vsM36
SNHG11	ENSG00000174365.23	lncRNA	ENSMUSG00000110042.2	lncRNA	many-to-many	GENCODE.v47vsM36
LINC00930	ENSG00000258647.7	lncRNA	ENSMUSG00000108448.4	lncRNA	one-to-many	GENCODE.v47vsM36
ANKRD36BP2	ENSG00000291127.2	lncRNA	ENSMUSG00000074404.7	lncRNA	many-to-many	GENCODE.v47vsM36
CAHM	ENSG00000270419.3	lncRNA	ENSMUSG00000099384.9	lncRNA	one-to-many	GENCODE.v47vsM36
LINC01416	ENSG00000260930.3	lncRNA	ENSMUSG00000129483.1	lncRNA	one-to-one	GENCODE.v47vsM36
LINC01666	ENSG00000279579.4	lncRNA	ENSMUSG00000121402.2	lncRNA	many-to-many	GENCODE.v47vsM36
ADAM20P1	ENSG00000290783.1	lncRNA	ENSMUSG00000091947.4	lncRNA	many-to-many	GENCODE.v47vsM36
LINC00680	ENSG00000290555.2	lncRNA	ENSMUSG00000142947.1	lncRNA	many-to-many	GENCODE.v47vsM36
ENSG00000278576	ENSG00000278576.1	lncRNA	ENSMUSG00000113196.2	lncRNA	many-to-many	GENCODE.v47vsM36
COPB2-DT	ENSG00000248932.9	lncRNA	ENSMUSG00000124683.1	lncRNA	many-to-many	GENCODE.v47vsM36
UBAC2-AS1	ENSG00000228889.10	lncRNA	ENSMUSG00000144053.1	lncRNA	many-to-many	GENCODE.v47vsM36
MIR503HG	ENSG00000223749.12	lncRNA	ENSMUSG00000087365.11	lncRNA	one-to-many	GENCODE.v47vsM36
TRDN-AS1	ENSG00000235535.10	lncRNA	ENSMUSG00000112707.3	lncRNA	one-to-one	GENCODE.v47vsM36
NR2F1-AS1	ENSG00000237187.10	lncRNA	ENSMUSG00000087143.12	lncRNA	one-to-many	GENCODE.v47vsM36
ENSG00000255440	ENSG00000255440.3	lncRNA	ENSMUSG00000109186.3	lncRNA	one-to-one	GENCODE.v47vsM36
IFNG-AS1	ENSG00000255733.7	lncRNA	ENSMUSG00000125936.1	lncRNA	many-to-many	GENCODE.v47vsM36
MITA1	ENSG00000285744.2	lncRNA	ENSMUSG00000097804.3	lncRNA	one-to-one	GENCODE.v47vsM36
STXBP5-AS1	ENSG00000233452.10	lncRNA	ENSMUSG00000112146.3	lncRNA	one-to-many	GENCODE.v47vsM36
THORLNC	ENSG00000226856.10	lncRNA	ENSMUSG00000101700.2	lncRNA	one-to-one	GENCODE.v47vsM36
LINC00115	ENSG00000225880.7	lncRNA	ENSMUSG00000121903.1	lncRNA	many-to-many	GENCODE.v47vsM36
MORF4L2-AS1	ENSG00000231154.2	lncRNA	ENSMUSG00000087368.9	lncRNA	one-to-many	GENCODE.v47vsM36
PAUPAR	ENSG00000281880.2	lncRNA	ENSMUSG00000102424.3	lncRNA	many-to-many	GENCODE.v47vsM36
LINC01036	ENSG00000230426.6	lncRNA	ENSMUSG00000102309.2	lncRNA	one-to-many	GENCODE.v47vsM36
ENSG00000273973	ENSG00000273973.1	lncRNA	ENSMUSG00000123815.1	lncRNA	one-to-one	GENCODE.v47vsM36
CDK6-AS1	ENSG00000237819.8	lncRNA	ENSMUSG00000136369.1	lncRNA	many-to-many	GENCODE.v47vsM36
LBX1-AS1	ENSG00000227128.6	lncRNA	ENSMUSG00000137576.1	lncRNA	one-to-one	GENCODE.v47vsM36
LINC02425	ENSG00000256259.2	lncRNA	ENSMUSG00000102382.2	lncRNA	one-to-one	GENCODE.v47vsM36
SOX2-OT	ENSG00000242808.13	lncRNA	ENSMUSG00000104901.2	lncRNA	many-to-many	GENCODE.v47vsM36
DDC-AS1	ENSG00000226122.1	lncRNA	ENSMUSG00000086391.3	lncRNA	one-to-many	GENCODE.v47vsM36
LINC00299	ENSG00000236790.8	lncRNA	ENSMUSG00000114033.2	lncRNA	one-to-many	GENCODE.v47vsM36
LINC01445	ENSG00000231427.7	lncRNA	ENSMUSG00000121681.1	lncRNA	many-to-many	GENCODE.v47vsM36
LINC02038	ENSG00000229155.3	lncRNA	ENSMUSG00000132595.1	lncRNA	one-to-one	GENCODE.v47vsM36
ENSG00000284116	ENSG00000284116.2	lncRNA	ENSMUSG00000121719.2	lncRNA	many-to-many	GENCODE.v47vsM36
RABGAP1L-IT1	ENSG00000223525.1	lncRNA	ENSMUSG00000103632.2	lncRNA	many-to-many	GENCODE.v47vsM36
ENSG00000283235	ENSG00000283235.3	lncRNA	ENSMUSG00000133063.1	lncRNA	one-to-many	GENCODE.v47vsM36
LINC01036	ENSG00000230426.6	lncRNA	ENSMUSG00000101011.9	lncRNA	one-to-many	GENCODE.v47vsM36
COX10-DT	ENSG00000236088.13	lncRNA	ENSMUSG00000087497.10	lncRNA	one-to-many	GENCODE.v47vsM36
TDRKH-AS1	ENSG00000203288.7	lncRNA	ENSMUSG00000097515.4	lncRNA	one-to-one	GENCODE.v47vsM36
ENSG00000266994	ENSG00000266994.1	lncRNA	ENSMUSG00000111053.2	lncRNA	many-to-many	GENCODE.v47vsM36
DLGAP4-AS1	ENSG00000232907.10	lncRNA	ENSMUSG00000138650.1	lncRNA	many-to-many	GENCODE.v47vsM36
STK32A-AS1	ENSG00000250343.2	lncRNA	ENSMUSG00000117792.3	lncRNA	many-to-many	GENCODE.v47vsM36
DGCR11	ENSG00000273311.1	lncRNA	ENSMUSG00000111435.3	lncRNA	many-to-many	GENCODE.v47vsM36
SRD5A3-AS1	ENSG00000249700.10	lncRNA	ENSMUSG00000137209.1	lncRNA	one-to-one	GENCODE.v47vsM36
LINC02067	ENSG00000240567.1	lncRNA	ENSMUSG00000142735.1	lncRNA	one-to-many	GENCODE.v47vsM36
LINC02074	ENSG00000266357.7	lncRNA	ENSMUSG00000132800.1	lncRNA	one-to-many	GENCODE.v47vsM36
DLEU2L	ENSG00000116652.7	lncRNA	ENSMUSG00000097589.12	lncRNA	one-to-many	GENCODE.v47vsM36
SNHG5	ENSG00000203875.14	lncRNA	ENSMUSG00000131208.1	lncRNA	one-to-many	GENCODE.v47vsM36
LINC01609	ENSG00000253103.3	lncRNA	ENSMUSG00000139622.1	lncRNA	many-to-many	GENCODE.v47vsM36
ENSG00000273328	ENSG00000273328.5	lncRNA	ENSMUSG00000140231.1	lncRNA	many-to-many	GENCODE.v47vsM36
LINC01094	ENSG00000251442.9	lncRNA	ENSMUSG00000106357.4	lncRNA	one-to-many	GENCODE.v47vsM36
LINC00115	ENSG00000225880.7	lncRNA	ENSMUSG00000107394.3	lncRNA	many-to-many	GENCODE.v47vsM36
PLUT	ENSG00000247381.3	lncRNA	ENSMUSG00000126307.1	lncRNA	one-to-many	GENCODE.v47vsM36
NKILA	ENSG00000278709.2	lncRNA	ENSMUSG00000087600.4	lncRNA	one-to-one	GENCODE.v47vsM36
CAST	ENSG00000153113.25	lncRNA	ENSMUSG00000141314.1	lncRNA	many-to-many	GENCODE.v47vsM36
ENSG00000273244	ENSG00000273244.1	lncRNA	ENSMUSG00000129944.1	lncRNA	many-to-many	GENCODE.v47vsM36
MIR210HG	ENSG00000247095.6	lncRNA	ENSMUSG00000129449.1	lncRNA	many-to-many	GENCODE.v47vsM36
LINC02408	ENSG00000203585.5	lncRNA	ENSMUSG00000112854.2	lncRNA	one-to-many	GENCODE.v47vsM36
ENSG00000243008	ENSG00000243008.4	lncRNA	ENSMUSG00000120962.1	lncRNA	many-to-many	GENCODE.v47vsM36
LINC01588	ENSG00000214900.14	lncRNA	ENSMUSG00000121717.1	lncRNA	many-to-many	GENCODE.v47vsM36
HOXA-AS2	ENSG00000253552.8	lncRNA	ENSMUSG00000056468.5	lncRNA	many-to-many	GENCODE.v47vsM36
TTC28-AS1	ENSG00000235954.10	lncRNA	ENSMUSG00000106374.2	lncRNA	many-to-many	GENCODE.v47vsM36
C9orf163	ENSG00000196366.3	lncRNA	ENSMUSG00000086714.4	lncRNA	one-to-one	GENCODE.v47vsM36
LINC01847	ENSG00000253311.4	lncRNA	ENSMUSG00000087172.3	lncRNA	one-to-one	GENCODE.v47vsM36
CARMN	ENSG00000249669.13	lncRNA	ENSMUSG00000120623.2	lncRNA	many-to-many	GENCODE.v47vsM36
SLC38A4-AS1	ENSG00000257261.8	lncRNA	ENSMUSG00000120767.2	lncRNA	many-to-many	GENCODE.v47vsM36
ENSG00000279900	ENSG00000279900.1	lncRNA	ENSMUSG00000074024.8	lncRNA	many-to-many	GENCODE.v47vsM36
ENSG00000271555	ENSG00000271555.1	lncRNA	ENSMUSG00000090031.5	lncRNA	one-to-many	GENCODE.v47vsM36
HOXA-AS2	ENSG00000253552.8	lncRNA	ENSMUSG00000128823.1	lncRNA	one-to-many	GENCODE.v47vsM36
MKNK1-AS1	ENSG00000269956.3	lncRNA	ENSMUSG00000100081.2	lncRNA	one-to-many	GENCODE.v47vsM36
ITFG2-AS1	ENSG00000258325.3	lncRNA	ENSMUSG00000124246.1	lncRNA	many-to-many	GENCODE.v47vsM36
RRN3P2	ENSG00000103472.11	lncRNA	ENSMUSG00000133785.1	lncRNA	many-to-many	GENCODE.v47vsM36
ANKRD62P1-PARP4P3	ENSG00000189295.13	lncRNA	ENSMUSG00000121903.1	lncRNA	many-to-many	GENCODE.v47vsM36
ADAMTS9-AS1	ENSG00000241158.7	lncRNA	ENSMUSG00000048636.9	lncRNA	one-to-one	GENCODE.v47vsM36
LMLN-AS1	ENSG00000232832.2	lncRNA	ENSMUSG00000113811.3	lncRNA	many-to-many	GENCODE.v47vsM36
ADD3-AS1	ENSG00000203876.11	lncRNA	ENSMUSG00000133604.1	lncRNA	one-to-one	GENCODE.v47vsM36
C1QTNF9-AS1	ENSG00000240868.1	lncRNA	ENSMUSG00000084951.3	lncRNA	many-to-many	GENCODE.v47vsM36
LINC01250	ENSG00000234423.3	lncRNA	ENSMUSG00000142847.1	lncRNA	one-to-many	GENCODE.v47vsM36
LINC00499	ENSG00000251372.9	lncRNA	ENSMUSG00000129935.1	lncRNA	one-to-one	GENCODE.v47vsM36
ENSG00000279344	ENSG00000279344.1	lncRNA	ENSMUSG00000109727.2	lncRNA	one-to-many	GENCODE.v47vsM36
MEG3	ENSG00000214548.19	lncRNA	ENSMUSG00000097961.2	lncRNA	one-to-many	GENCODE.v47vsM36
C1RL-AS1	ENSG00000205885.9	lncRNA	ENSMUSG00000107552.3	lncRNA	one-to-one	GENCODE.v47vsM36
MIR100HG	ENSG00000255248.11	lncRNA	ENSMUSG00000122815.1	lncRNA	many-to-many	GENCODE.v47vsM36
ENSG00000266560	ENSG00000266560.5	lncRNA	ENSMUSG00000118604.2	lncRNA	many-to-many	GENCODE.v47vsM36
ENSG00000280078	ENSG00000280078.1	lncRNA	ENSMUSG00000123033.1	lncRNA	many-to-many	GENCODE.v47vsM36
ATP6V0E2-AS1	ENSG00000204934.11	lncRNA	ENSMUSG00000097716.3	lncRNA	many-to-many	GENCODE.v47vsM36
LINC00598	ENSG00000215483.13	lncRNA	ENSMUSG00000126353.1	lncRNA	many-to-many	GENCODE.v47vsM36
LINC00380	ENSG00000234625.2	lncRNA	ENSMUSG00000103140.2	lncRNA	one-to-one	GENCODE.v47vsM36
ENSG00000235020	ENSG00000235020.6	lncRNA	ENSMUSG00000103050.2	lncRNA	one-to-many	GENCODE.v47vsM36
LINC01738	ENSG00000227947.3	lncRNA	ENSMUSG00000140662.1	lncRNA	one-to-many	GENCODE.v47vsM36
LINC01491	ENSG00000259572.8	lncRNA	ENSMUSG00000130839.1	lncRNA	one-to-one	GENCODE.v47vsM36
LINC01837	ENSG00000267489.6	lncRNA	ENSMUSG00000121847.2	lncRNA	many-to-many	GENCODE.v47vsM36
HIVEP2-DT	ENSG00000232618.2	lncRNA	ENSMUSG00000120437.2	lncRNA	one-to-one	GENCODE.v47vsM36
KRT18P55	ENSG00000293325.2	lncRNA	ENSMUSG00000124288.1	lncRNA	many-to-many	GENCODE.v47vsM36
CADM1-AS1	ENSG00000256315.2	lncRNA	ENSMUSG00000143460.1	lncRNA	one-to-one	GENCODE.v47vsM36
FAM95B1	ENSG00000290718.2	lncRNA	ENSMUSG00000121493.2	lncRNA	many-to-many	GENCODE.v47vsM36
LINC00632	ENSG00000203930.15	lncRNA	ENSMUSG00000118604.2	lncRNA	many-to-many	GENCODE.v47vsM36
SNHG5	ENSG00000203875.14	lncRNA	ENSMUSG00000097195.13	lncRNA	one-to-many	GENCODE.v47vsM36
LINC01276	ENSG00000226917.7	lncRNA	ENSMUSG00000134961.1	lncRNA	one-to-many	GENCODE.v47vsM36
MIR100HG	ENSG00000255248.11	lncRNA	ENSMUSG00000121652.2	lncRNA	many-to-many	GENCODE.v47vsM36
ANKRD20A5P	ENSG00000293697.2	lncRNA	ENSMUSG00000137336.1	lncRNA	many-to-many	GENCODE.v47vsM36
LUNAR1	ENSG00000278090.4	lncRNA	ENSMUSG00000109193.3	lncRNA	many-to-many	GENCODE.v47vsM36
MIR9-3HG	ENSG00000255571.10	lncRNA	ENSMUSG00000097023.11	lncRNA	one-to-many	GENCODE.v47vsM36
LINC01593	ENSG00000231221.1	lncRNA	ENSMUSG00000102572.2	lncRNA	one-to-one	GENCODE.v47vsM36
ELDR	ENSG00000280890.2	lncRNA	ENSMUSG00000087060.10	lncRNA	one-to-many	GENCODE.v47vsM36
CDK6-AS1	ENSG00000237819.8	lncRNA	ENSMUSG00000122274.1	lncRNA	many-to-many	GENCODE.v47vsM36
ENSG00000225649	ENSG00000225649.8	lncRNA	ENSMUSG00000121847.2	lncRNA	many-to-many	GENCODE.v47vsM36
LINC02289	ENSG00000258819.3	lncRNA	ENSMUSG00000120265.2	lncRNA	one-to-many	GENCODE.v47vsM36
LINC01003	ENSG00000261455.2	lncRNA	ENSMUSG00000101856.3	lncRNA	one-to-one	GENCODE.v47vsM36
SLC25A30-AS1	ENSG00000251015.2	lncRNA	ENSMUSG00000133257.1	lncRNA	many-to-many	GENCODE.v47vsM36
FBXL19-AS1	ENSG00000260852.2	lncRNA	ENSMUSG00000121230.2	lncRNA	one-to-one	GENCODE.v47vsM36
CDK6-AS1	ENSG00000237819.8	lncRNA	ENSMUSG00000112968.3	lncRNA	many-to-many	GENCODE.v47vsM36
ENSG00000225649	ENSG00000225649.8	lncRNA	ENSMUSG00000121717.1	lncRNA	many-to-many	GENCODE.v47vsM36
MIR222HG	ENSG00000270069.5	lncRNA	ENSMUSG00000097497.4	lncRNA	one-to-many	GENCODE.v47vsM36
LINC01504	ENSG00000225434.6	lncRNA	ENSMUSG00000118342.3	lncRNA	one-to-one	GENCODE.v47vsM36
LINC00426	ENSG00000238121.8	lncRNA	ENSMUSG00000085639.3	lncRNA	one-to-many	GENCODE.v47vsM36
LINC01606	ENSG00000253301.7	lncRNA	ENSMUSG00000121903.1	lncRNA	many-to-many	GENCODE.v47vsM36
LINC02525	ENSG00000230269.8	lncRNA	ENSMUSG00000113591.3	lncRNA	one-to-many	GENCODE.v47vsM36
LINC02151	ENSG00000236437.3	lncRNA	ENSMUSG00000110767.3	lncRNA	one-to-one	GENCODE.v47vsM36
OVCH1-AS1	ENSG00000257599.6	lncRNA	ENSMUSG00000128663.1	lncRNA	many-to-many	GENCODE.v47vsM36
TPTEP1	ENSG00000290418.2	lncRNA	ENSMUSG00000131356.1	lncRNA	many-to-many	GENCODE.v47vsM36
PWAR5	ENSG00000279192.1	lncRNA	ENSMUSG00000100826.8	lncRNA	many-to-many	GENCODE.v47vsM36
LINC01819	ENSG00000231826.9	lncRNA	ENSMUSG00000103015.2	lncRNA	many-to-many	GENCODE.v47vsM36
LINC02613	ENSG00000231367.7	lncRNA	ENSMUSG00000117415.3	lncRNA	one-to-one	GENCODE.v47vsM36
FLJ40194	ENSG00000177369.12	lncRNA	ENSMUSG00000134424.1	lncRNA	one-to-many	GENCODE.v47vsM36
