mm39	mm39 gene type	hg38	hg38 gene type	orthology type
ENSMUSG00000024712.10	pc	ENSG00000255900.1	other	one-to-many
ENSMUSG00002075125.1	ncRNA	ENSG00000222588.1	ncRNA	many-to-many
ENSMUSG00000047557.3	pc	ENSG00000079257.8	pc	one-to-many
ENSMUSG00000130910.1	lncRNA	ENSG00000234982.1	other	many-to-many
ENSMUSG00000116999.2	other	ENSG00000232508.1	other	one-to-many
ENSMUSG00000064141.15	pc	ENSG00000187801.15	pc	many-to-many
ENSMUSG00000089966.2	other	ENSG00000223589.2	other	many-to-many
ENSMUSG00000082116.2	other	ENSG00000258870.1	other	one-to-many
ENSMUSG00000007670.11	pc	ENSG00000088247.19	pc	many-to-many
ENSMUSG00000084343.2	other	ENSG00000175886.10	other	one-to-many
ENSMUSG00000003746.17	pc	ENSG00000269419.1	other	one-to-many
ENSMUSG00000027828.13	pc	ENSG00000114850.7	pc	one-to-many
ENSMUSG00002076092.1	ncRNA	ENSG00000276873.1	ncRNA	many-to-many
ENSMUSG00000021431.17	pc	ENSG00000168566.13	pc	one-to-one
ENSMUSG00000082146.2	other	ENSG00000243964.1	other	one-to-many
ENSMUSG00000029918.10	pc	ENSG00000251308.1	other	one-to-many
ENSMUSG00000007827.11	pc	ENSG00000291012.2	lncRNA	many-to-many
ENSMUSG00000030965.20	pc	ENSG00000165660.8	pc	one-to-one
ENSMUSG00000065097.3	ncRNA	ENSG00000201467.1	ncRNA	many-to-many
ENSMUSG00000024327.17	pc	ENSG00000112473.19	pc	one-to-many
ENSMUSG00000022237.18	pc	ENSG00000229689.5	other	many-to-many
ENSMUSG00000105647.2	lncRNA	ENSG00000241878.12	pc	one-to-many
ENSMUSG00000114947.2	other	ENSG00000248827.1	other	one-to-many
ENSMUSG00000006301.18	pc	ENSG00000135926.15	pc	one-to-one
ENSMUSG00000101645.2	pc	ENSG00000288534.1	pc	many-to-many
ENSMUSG00000110008.6	pc	ENSG00000197674.8	pc	many-to-many
ENSMUSG00000112919.2	pc	ENSG00000096401.8	pc	many-to-many
ENSMUSG00000021911.17	pc	ENSG00000290971.2	lncRNA	many-to-many
ENSMUSG00000069184.5	pc	ENSG00000234716.1	other	many-to-many
ENSMUSG00000064246.11	pc	ENSG00000064886.14	pc	many-to-many
ENSMUSG00000078632.5	pc	ENSG00000291175.2	lncRNA	many-to-many
ENSMUSG00000032558.20	pc	ENSG00000113971.21	pc	many-to-many
ENSMUSG00000008682.14	pc	ENSG00000207268.1	ncRNA	many-to-many
ENSMUSG00000121747.2	lncRNA	ENSG00000231251.1	other	many-to-many
ENSMUSG00000110234.3	pc	ENSG00000179532.13	pc	many-to-many
ENSMUSG00000110560.2	other	ENSG00000187847.5	other	many-to-many
ENSMUSG00000046408.16	pc	ENSG00000188032.10	pc	one-to-one
ENSMUSG00000081957.6	other	ENSG00000255838.1	other	many-to-many
ENSMUSG00000110957.2	other	ENSG00000163818.20	pc	one-to-many
ENSMUSG00000034201.14	pc	ENSG00000229511.1	other	one-to-many
ENSMUSG00000097175.2	other	ENSG00000231767.5	other	many-to-many
ENSMUSG00000110678.2	other	ENSG00000230077.1	other	one-to-many
ENSMUSG00000021687.15	pc	ENSG00000085365.18	pc	one-to-many
ENSMUSG00000037536.15	pc	ENSG00000178974.11	pc	one-to-many
ENSMUSG00000054426.14	lncRNA	ENSG00000233184.10	lncRNA	one-to-one
ENSMUSG00000092265.3	other	ENSG00000206341.7	other	many-to-many
ENSMUSG00000047126.18	pc	ENSG00000141367.14	pc	one-to-many
ENSMUSG00000108193.2	other	ENSG00000244479.8	lncRNA	many-to-many
ENSMUSG00000070871.11	pc	ENSG00000290444.2	lncRNA	many-to-many
ENSMUSG00000122568.1	lncRNA	ENSG00000293891.1	lncRNA	one-to-many
ENSMUSG00000038013.15	pc	ENSG00000171475.14	pc	one-to-one
ENSMUSG00000050608.12	pc	ENSG00000173436.15	pc	many-to-many
ENSMUSG00000063683.13	pc	ENSG00000149124.11	pc	many-to-many
ENSMUSG00000114446.3	lncRNA	ENSG00000253125.1	lncRNA	one-to-one
ENSMUSG00000100666.3	lncRNA	ENSG00000241048.2	lncRNA	one-to-one
ENSMUSG00000025151.17	pc	ENSG00000179222.18	pc	many-to-many
ENSMUSG00000047564.5	pc	ENSG00000212901.4	pc	one-to-one
ENSMUSG00000018656.6	pc	ENSG00000198420.10	pc	many-to-many
ENSMUSG00000080461.3	ncRNA	ENSG00000221459.1	ncRNA	many-to-many
ENSMUSG00000093156.3	ncRNA	ENSG00000163931.17	pc	one-to-many
ENSMUSG00000117111.2	other	ENSG00000302628.1	lncRNA	many-to-many
ENSMUSG00000135477.1	lncRNA	ENSG00000116785.15	pc	many-to-many
ENSMUSG00000116168.2	other	ENSG00000224415.1	other	one-to-many
ENSMUSG00000109547.3	pc	ENSG00000169484.4	pc	one-to-many
ENSMUSG00000047246.8	pc	ENSG00000291338.1	lncRNA	many-to-many
ENSMUSG00000006850.9	pc	ENSG00000113119.13	pc	one-to-one
ENSMUSG00000136061.1	lncRNA	ENSG00000306246.1	lncRNA	one-to-one
ENSMUSG00000051510.14	pc	ENSG00000197063.11	pc	many-to-many
ENSMUSG00000078964.3	pc	ENSG00000303450.1	lncRNA	many-to-many
ENSMUSG00000102438.2	other	ENSG00000243777.1	other	one-to-many
ENSMUSG00000089542.3	ncRNA	ENSG00000238917.1	ncRNA	many-to-many
ENSMUSG00000083629.2	other	ENSG00000213606.3	other	one-to-many
ENSMUSG00000027349.6	pc	ENSG00000171262.11	pc	one-to-many
ENSMUSG00000110244.2	other	ENSG00000213293.4	other	many-to-many
ENSMUSG00000066626.6	other	ENSG00000237186.1	other	many-to-many
ENSMUSG00000035469.18	pc	ENSG00000136144.12	pc	one-to-one
ENSMUSG00000121394.1	lncRNA	ENSG00000223377.1	other	many-to-many
ENSMUSG00000001833.18	pc	ENSG00000291108.2	lncRNA	many-to-many
ENSMUSG00000036053.19	pc	ENSG00000157827.20	pc	one-to-many
ENSMUSG00000017631.20	pc	ENSG00000159842.16	pc	many-to-many
ENSMUSG00000089524.3	ncRNA	ENSG00000207268.1	ncRNA	many-to-many
ENSMUSG00000083500.2	other	ENSG00000115758.14	pc	many-to-many
ENSMUSG00000113551.2	other	ENSG00000132967.11	other	many-to-many
ENSMUSG00000020576.11	pc	ENSG00000151779.14	pc	one-to-many
ENSMUSG00000082534.2	other	ENSG00000271079.1	pc	many-to-many
ENSMUSG00000123382.1	lncRNA	ENSG00000204283.5	lncRNA	one-to-one
ENSMUSG00000042997.14	pc	ENSG00000188811.14	pc	one-to-one
ENSMUSG00000121848.2	lncRNA	ENSG00000034510.6	pc	one-to-many
ENSMUSG00000140021.1	lncRNA	ENSG00000213210.4	other	one-to-many
ENSMUSG00000069248.12	pc	ENSG00000124570.21	pc	one-to-many
ENSMUSG00000021477.10	pc	ENSG00000136943.12	pc	many-to-many
ENSMUSG00000107774.2	lncRNA	ENSG00000275778.3	pc	many-to-many
ENSMUSG00000047617.12	pc	ENSG00000148362.11	pc	one-to-one
ENSMUSG00000090693.5	pc	ENSG00000255011.1	other	many-to-many
ENSMUSG00000121018.2	lncRNA	ENSG00000240405.8	lncRNA	many-to-many
ENSMUSG00000038742.8	pc	ENSG00000130812.11	pc	one-to-many
ENSMUSG00000050147.10	pc	ENSG00000127533.4	pc	one-to-many
ENSMUSG00000035206.11	pc	ENSG00000273734.1	pc	many-to-many
ENSMUSG00000028234.7	pc	ENSG00000223803.1	other	many-to-many
ENSMUSG00000131757.1	lncRNA	ENSG00000286570.1	lncRNA	one-to-one
ENSMUSG00000021294.8	pc	ENSG00000066735.16	pc	one-to-one
ENSMUSG00000075566.3	pc	ENSG00000198271.5	pc	one-to-many
ENSMUSG00000114927.2	other	ENSG00000235008.1	other	one-to-many
ENSMUSG00000002847.8	pc	ENSG00000144837.9	pc	one-to-one
ENSMUSG00000020911.15	pc	ENSG00000256937.1	other	many-to-many
ENSMUSG00000018334.19	pc	ENSG00000290545.2	lncRNA	many-to-many
ENSMUSG00000037104.10	pc	ENSG00000171150.9	pc	one-to-many
ENSMUSG00000022964.15	pc	ENSG00000142188.17	pc	one-to-many
ENSMUSG00000040936.16	pc	ENSG00000215304.3	lncRNA	many-to-many
ENSMUSG00000103332.2	pc	ENSG00000253767.3	pc	many-to-many
ENSMUSG00000063251.7	pc	ENSG00000212722.9	pc	many-to-many
ENSMUSG00000081176.2	other	ENSG00000226881.5	other	many-to-many
ENSMUSG00000032307.17	pc	ENSG00000260693.1	lncRNA	many-to-many
ENSMUSG00000075378.3	pc	ENSG00000171496.5	pc	one-to-many
ENSMUSG00000028763.19	pc	ENSG00000142798.20	pc	one-to-one
ENSMUSG00000091905.4	other	ENSG00000264529.1	other	many-to-many
ENSMUSG00000125868.1	lncRNA	ENSG00000287185.1	lncRNA	one-to-one
ENSMUSG00000021039.10	pc	ENSG00000258665.1	other	many-to-many
ENSMUSG00000117203.2	other	ENSG00000147679.12	pc	one-to-many
ENSMUSG00000035351.17	pc	ENSG00000075188.9	pc	one-to-one
ENSMUSG00000113084.2	pc	ENSG00000284631.2	pc	one-to-many
ENSMUSG00000037437.19	pc	ENSG00000197140.15	pc	one-to-many
ENSMUSG00000072575.5	pc	ENSG00000258963.1	other	many-to-many
ENSMUSG00000105404.2	other	ENSG00000205767.4	other	one-to-many
ENSMUSG00000020061.19	pc	ENSG00000196091.15	pc	one-to-one
ENSMUSG00000079184.11	pc	ENSG00000196199.14	pc	one-to-many
ENSMUSG00000020415.17	pc	ENSG00000181705.2	other	many-to-many
ENSMUSG00000099925.3	pc	ENSG00000139351.15	pc	one-to-many
ENSMUSG00000026185.9	pc	ENSG00000115461.5	pc	one-to-one
ENSMUSG00000120390.1	lncRNA	ENSG00000164924.18	pc	one-to-many
ENSMUSG00000067399.11	pc	ENSG00000182053.13	pc	many-to-many
ENSMUSG00000118083.2	other	ENSG00000290536.1	lncRNA	many-to-many
ENSMUSG00000095143.6	pc	ENSG00000298638.1	lncRNA	many-to-many
ENSMUSG00000119974.2	lncRNA	ENSG00000253554.8	lncRNA	one-to-one
ENSMUSG00000114677.3	other	ENSG00000146757.14	pc	many-to-many
ENSMUSG00000104156.4	lncRNA	ENSG00000274292.3	lncRNA	one-to-many
ENSMUSG00000121495.1	lncRNA	ENSG00000290817.1	lncRNA	many-to-many
ENSMUSG00000109241.2	other	ENSG00000189145.7	other	many-to-many
ENSMUSG00000084257.2	other	ENSG00000186832.9	pc	one-to-many
ENSMUSG00000080912.2	other	ENSG00000175886.10	other	one-to-many
ENSMUSG00000045336.6	pc	ENSG00000227289.3	other	many-to-many
ENSMUSG00000027361.16	pc	ENSG00000104064.18	pc	one-to-many
ENSMUSG00000107271.5	lncRNA	ENSG00000237879.3	lncRNA	one-to-many
ENSMUSG00000039209.13	pc	ENSG00000223628.2	other	many-to-many
ENSMUSG00000103295.2	other	ENSG00000253536.1	other	one-to-many
ENSMUSG00000107020.2	other	ENSG00000254247.1	other	one-to-many
ENSMUSG00000117521.2	lncRNA	ENSG00000165757.9	pc	one-to-many
ENSMUSG00000044937.16	pc	ENSG00000214198.9	other	many-to-many
ENSMUSG00000034664.14	pc	ENSG00000005961.19	pc	one-to-one
ENSMUSG00000082912.2	other	ENSG00000232531.3	other	many-to-many
ENSMUSG00000074591.9	pc	ENSG00000206199.11	pc	one-to-many
ENSMUSG00000083794.2	other	ENSG00000213430.6	other	one-to-many
ENSMUSG00000058183.17	pc	ENSG00000142606.16	pc	one-to-one
ENSMUSG00000103054.2	lncRNA	ENSG00000250905.1	lncRNA	one-to-one
ENSMUSG00000081923.2	other	ENSG00000234259.3	other	one-to-many
ENSMUSG00000086784.3	pc	ENSG00000063241.8	pc	one-to-many
ENSMUSG00000116521.2	other	ENSG00000166260.13	pc	one-to-many
ENSMUSG00000018446.9	pc	ENSG00000263272.1	lncRNA	many-to-many
ENSMUSG00000102550.2	other	ENSG00000227497.1	other	many-to-many
ENSMUSG00000057697.3	pc	ENSG00000233121.1	other	many-to-many
ENSMUSG00000097803.2	other	ENSG00000225352.1	other	many-to-many
ENSMUSG00000102358.2	other	ENSG00000147059.9	pc	one-to-many
ENSMUSG00000026828.12	pc	ENSG00000136542.9	pc	one-to-one
ENSMUSG00000062017.16	pc	ENSG00000167972.14	pc	many-to-many
ENSMUSG00000003131.8	pc	ENSG00000224077.2	lncRNA	many-to-many
ENSMUSG00000121419.2	lncRNA	ENSG00000250183.2	other	many-to-many
ENSMUSG00000016757.12	pc	ENSG00000100304.13	pc	one-to-many
ENSMUSG00000038064.8	pc	ENSG00000177300.7	pc	one-to-one
ENSMUSG00000131702.1	lncRNA	ENSG00000290082.2	lncRNA	one-to-one
ENSMUSG00000121695.2	lncRNA	ENSG00000137970.7	other	one-to-many
ENSMUSG00000077687.3	ncRNA	ENSG00000274998.1	ncRNA	many-to-many
ENSMUSG00000093642.2	other	ENSG00000226348.1	other	one-to-many
ENSMUSG00000119722.1	ncRNA	ENSG00000277785.1	ncRNA	many-to-many
ENSMUSG00000038212.17	pc	ENSG00000254590.1	other	many-to-many
ENSMUSG00000064811.3	ncRNA	ENSG00000166012.17	pc	many-to-many
ENSMUSG00000084262.6	pc	ENSG00000230261.1	other	many-to-many
ENSMUSG00000110219.2	other	ENSG00000165055.16	pc	many-to-many
ENSMUSG00000121500.2	lncRNA	ENSG00000241878.12	pc	many-to-many
ENSMUSG00000028821.9	pc	ENSG00000271671.1	other	one-to-many
ENSMUSG00000100701.2	other	ENSG00000219807.2	other	many-to-many
ENSMUSG00000031765.9	pc	ENSG00000169688.11	pc	many-to-many
ENSMUSG00000030138.9	pc	ENSG00000295588.1	lncRNA	many-to-many
ENSMUSG00000118593.2	other	ENSG00000243509.6	pc	many-to-many
ENSMUSG00000116535.2	other	ENSG00000204196.5	other	many-to-many
ENSMUSG00000119327.1	ncRNA	ENSG00000224078.16	lncRNA	many-to-many
ENSMUSG00000082076.2	other	ENSG00000149925.22	pc	many-to-many
ENSMUSG00000126507.1	lncRNA	ENSG00000147059.9	pc	one-to-many
ENSMUSG00000040848.12	pc	ENSG00000213064.10	pc	one-to-one
ENSMUSG00000112108.3	lncRNA	ENSG00000012211.13	pc	one-to-many
ENSMUSG00000032500.11	pc	ENSG00000163673.8	pc	one-to-many
ENSMUSG00000062270.15	pc	ENSG00000185787.16	pc	one-to-one
ENSMUSG00000066680.5	other	ENSG00000196266.6	pc	one-to-many
ENSMUSG00000096891.2	other	ENSG00000237906.1	other	many-to-many
ENSMUSG00000020473.14	pc	ENSG00000106624.11	pc	one-to-one
ENSMUSG00000019082.19	pc	ENSG00000177542.11	pc	one-to-one
ENSMUSG00000065443.3	ncRNA	ENSG00000283745.1	ncRNA	many-to-many
ENSMUSG00000101283.2	other	ENSG00000186787.10	pc	one-to-many
ENSMUSG00000047511.7	pc	ENSG00000182613.3	pc	one-to-many
ENSMUSG00000063696.8	other	ENSG00000230779.1	other	many-to-many
ENSMUSG00000110947.2	pc	ENSG00000213215.5	pc	one-to-many
ENSMUSG00000005338.15	pc	ENSG00000213088.14	pc	many-to-many
ENSMUSG00000102836.2	pc	ENSG00000262576.3	pc	many-to-many
ENSMUSG00000021280.10	pc	ENSG00000205436.8	pc	one-to-one
ENSMUSG00000107700.2	other	ENSG00000236248.1	other	one-to-many
ENSMUSG00000040253.16	pc	ENSG00000218350.1	other	many-to-many
ENSMUSG00000046699.15	pc	ENSG00000179542.16	pc	one-to-one
ENSMUSG00000010406.13	pc	ENSG00000172590.18	pc	one-to-one
ENSMUSG00000022485.4	pc	ENSG00000273046.1	lncRNA	many-to-many
ENSMUSG00000082930.2	other	ENSG00000129691.16	pc	one-to-many
ENSMUSG00000046447.4	pc	ENSG00000162545.6	pc	one-to-many
ENSMUSG00000031355.17	pc	ENSG00000305612.1	lncRNA	many-to-many
ENSMUSG00000028909.18	pc	ENSG00000225011.4	other	one-to-many
ENSMUSG00000081253.2	other	ENSG00000123009.4	other	one-to-many
ENSMUSG00000112311.2	other	ENSG00000228232.1	other	one-to-many
ENSMUSG00000004961.8	pc	ENSG00000129990.15	pc	one-to-one
ENSMUSG00000108895.2	other	ENSG00000205579.3	other	one-to-many
ENSMUSG00000117623.2	other	ENSG00000293490.2	lncRNA	one-to-many
ENSMUSG00000074037.4	pc	ENSG00000258947.8	pc	many-to-many
ENSMUSG00000019804.13	pc	ENSG00000278585.1	other	one-to-many
ENSMUSG00000031224.7	pc	ENSG00000186675.7	pc	one-to-one
ENSMUSG00000140083.1	lncRNA	ENSG00000226210.3	other	many-to-many
ENSMUSG00000050028.6	pc	ENSG00000258721.3	other	many-to-many
ENSMUSG00000021335.14	pc	ENSG00000124568.12	pc	one-to-one
ENSMUSG00000036098.16	pc	ENSG00000124920.14	pc	one-to-one
ENSMUSG00000030541.17	pc	ENSG00000182054.10	pc	one-to-one
ENSMUSG00000086448.2	lncRNA	ENSG00000112293.15	pc	one-to-many
ENSMUSG00000138413.1	lncRNA	ENSG00000136490.9	pc	one-to-many
ENSMUSG00000081661.2	other	ENSG00000224617.1	other	many-to-many
ENSMUSG00000119606.1	ncRNA	ENSG00000199453.1	ncRNA	many-to-many
ENSMUSG00000074129.15	pc	ENSG00000142541.18	pc	many-to-many
ENSMUSG00000033335.19	pc	ENSG00000079805.19	pc	one-to-one
ENSMUSG00000094574.2	other	ENSG00000124486.15	pc	many-to-many
ENSMUSG00000027667.14	pc	ENSG00000121864.10	pc	one-to-one
ENSMUSG00000022598.7	pc	ENSG00000167653.5	pc	one-to-many
ENSMUSG00000007827.11	pc	ENSG00000230453.11	pc	many-to-many
ENSMUSG00000000617.15	pc	ENSG00000113262.16	pc	one-to-one
ENSMUSG00000064435.3	ncRNA	ENSG00000156976.17	pc	many-to-many
ENSMUSG00000060227.16	pc	ENSG00000293265.2	lncRNA	many-to-many
ENSMUSG00000121501.1	lncRNA	ENSG00000254781.1	other	many-to-many
ENSMUSG00000111827.2	other	ENSG00000168268.11	pc	one-to-many
ENSMUSG00000025955.14	pc	ENSG00000151632.18	pc	one-to-many
ENSMUSG00002075173.1	ncRNA	ENSG00000242808.13	lncRNA	many-to-many
ENSMUSG00000106617.2	lncRNA	ENSG00000224729.7	lncRNA	one-to-many
ENSMUSG00000069818.7	pc	ENSG00000180016.2	pc	one-to-many
ENSMUSG00000032718.5	pc	ENSG00000111261.14	pc	one-to-many
ENSMUSG00000109000.2	other	ENSG00000134376.17	pc	one-to-many
ENSMUSG00000069184.5	pc	ENSG00000197302.11	pc	many-to-many
ENSMUSG00000138785.1	lncRNA	ENSG00000307171.1	lncRNA	one-to-one
ENSMUSG00000000804.15	pc	ENSG00000263887.7	other	many-to-many
ENSMUSG00000047347.8	other	ENSG00000255725.2	other	one-to-many
ENSMUSG00000081252.2	other	ENSG00000217767.2	other	one-to-many
ENSMUSG00000129789.1	lncRNA	ENSG00000215221.2	other	many-to-many
ENSMUSG00000002803.15	pc	ENSG00000229106.1	other	one-to-many
ENSMUSG00000087990.4	ncRNA	ENSG00000281394.1	ncRNA	many-to-many
ENSMUSG00000089036.3	ncRNA	ENSG00000212589.1	ncRNA	one-to-many
ENSMUSG00000021318.16	pc	ENSG00000106571.15	pc	one-to-many
ENSMUSG00000002546.18	pc	ENSG00000277322.1	pc	many-to-many
ENSMUSG00000043391.11	pc	ENSG00000187068.3	pc	one-to-one
ENSMUSG00000094380.4	pc	ENSG00000290694.1	lncRNA	many-to-many
ENSMUSG00000114868.2	other	ENSG00000102898.13	pc	one-to-many
ENSMUSG00000094684.2	other	ENSG00000268163.1	pc	many-to-many
ENSMUSG00000018334.19	pc	ENSG00000294132.1	lncRNA	many-to-many
ENSMUSG00000049760.7	pc	ENSG00000174917.9	pc	one-to-many
ENSMUSG00000101575.2	other	ENSG00000147059.9	pc	one-to-many
ENSMUSG00000115486.2	other	ENSG00000233476.3	other	one-to-many
ENSMUSG00000026848.15	pc	ENSG00000136827.12	pc	many-to-many
ENSMUSG00000029586.10	pc	ENSG00000205238.12	pc	many-to-many
ENSMUSG00000094693.2	other	ENSG00000186787.10	pc	one-to-many
ENSMUSG00000043892.4	pc	ENSG00000290752.1	lncRNA	many-to-many
ENSMUSG00000018920.12	pc	ENSG00000161921.17	pc	one-to-one
ENSMUSG00000110810.2	other	ENSG00000181325.7	other	one-to-many
ENSMUSG00000032595.11	pc	ENSG00000187492.9	pc	one-to-many
ENSMUSG00000066647.10	other	ENSG00000196357.12	pc	many-to-many
ENSMUSG00000111351.2	other	ENSG00000144426.19	pc	many-to-many
ENSMUSG00000078606.9	pc	ENSG00000291143.2	lncRNA	many-to-many
ENSMUSG00000028427.14	pc	ENSG00000165269.13	pc	many-to-many
ENSMUSG00000115938.2	other	ENSG00000234287.1	other	many-to-many
ENSMUSG00000090008.2	other	ENSG00000226084.5	other	many-to-many
ENSMUSG00000100901.2	other	ENSG00000146282.19	pc	one-to-many
ENSMUSG00000041737.9	pc	ENSG00000151715.8	pc	many-to-many
ENSMUSG00000064540.3	ncRNA	ENSG00000184423.5	other	many-to-many
ENSMUSG00000026085.12	pc	ENSG00000241962.9	pc	many-to-many
ENSMUSG00000003354.7	pc	ENSG00000248847.2	other	one-to-many
ENSMUSG00000059033.8	other	ENSG00000213717.3	other	many-to-many
ENSMUSG00000061518.12	pc	ENSG00000135940.7	pc	one-to-one
ENSMUSG00000053268.8	pc	ENSG00000152591.15	pc	one-to-one
ENSMUSG00000048148.19	pc	ENSG00000188039.17	pc	one-to-one
ENSMUSG00000109446.2	pc	ENSG00000285228.1	other	one-to-many
ENSMUSG00000119965.2	lncRNA	ENSG00000128918.15	pc	one-to-many
ENSMUSG00000120210.2	lncRNA	ENSG00000264107.2	lncRNA	many-to-many
ENSMUSG00000026117.11	pc	ENSG00000115085.16	pc	one-to-one
ENSMUSG00000024213.15	pc	ENSG00000270800.4	pc	many-to-many
ENSMUSG00000128485.1	lncRNA	ENSG00000147059.9	pc	one-to-many
ENSMUSG00000066058.12	pc	ENSG00000164007.11	pc	one-to-one
ENSMUSG00000118761.1	ncRNA	ENSG00000224078.16	lncRNA	many-to-many
ENSMUSG00000096993.6	lncRNA	ENSG00000149557.14	pc	one-to-many
ENSMUSG00000065418.3	ncRNA	ENSG00000223749.12	lncRNA	many-to-many
ENSMUSG00000096592.2	other	ENSG00000299923.1	lncRNA	many-to-many
ENSMUSG00000016619.11	pc	ENSG00000093000.19	pc	many-to-many
ENSMUSG00000113389.2	other	ENSG00000249264.1	other	one-to-many
ENSMUSG00000041632.8	pc	ENSG00000113048.19	pc	one-to-one
ENSMUSG00000049057.5	pc	ENSG00000255312.1	other	many-to-many
ENSMUSG00000083894.2	other	ENSG00000169714.17	pc	one-to-many
ENSMUSG00000060257.3	pc	ENSG00000270299.1	pc	many-to-many
ENSMUSG00000082953.4	other	ENSG00000114120.14	pc	many-to-many
ENSMUSG00000141914.1	lncRNA	ENSG00000266521.1	lncRNA	one-to-one
ENSMUSG00000084024.2	other	ENSG00000224411.3	other	one-to-many
ENSMUSG00000057439.13	pc	ENSG00000104970.12	other	many-to-many
ENSMUSG00000038071.4	pc	ENSG00000226306.9	other	many-to-many
ENSMUSG00000093443.3	ncRNA	ENSG00000266692.1	ncRNA	many-to-many
ENSMUSG00000018559.17	pc	ENSG00000262526.2	pc	many-to-many
ENSMUSG00000106496.2	other	ENSG00000250693.2	other	many-to-many
ENSMUSG00000022701.19	pc	ENSG00000163617.11	pc	one-to-one
ENSMUSG00000116904.2	other	ENSG00000184009.13	pc	one-to-many
ENSMUSG00000099662.2	other	ENSG00000296525.1	lncRNA	many-to-many
ENSMUSG00000022996.16	pc	ENSG00000169884.14	pc	one-to-one
ENSMUSG00000079853.6	pc	ENSG00000256667.7	other	many-to-many
ENSMUSG00000107068.2	pc	ENSG00000281348.1	pc	many-to-many
ENSMUSG00000082508.2	other	ENSG00000212802.4	other	one-to-many
ENSMUSG00000031105.17	pc	ENSG00000213608.5	other	many-to-many
ENSMUSG00000086503.6	lncRNA	ENSG00000291306.1	other	many-to-many
ENSMUSG00000129723.1	lncRNA	ENSG00000241905.1	other	one-to-many
ENSMUSG00000025270.14	pc	ENSG00000158578.21	pc	one-to-one
ENSMUSG00000082843.4	other	ENSG00000228232.1	other	one-to-many
ENSMUSG00000115482.2	pc	ENSG00000229301.2	lncRNA	many-to-many
ENSMUSG00000109113.3	pc	ENSG00000291166.2	lncRNA	many-to-many
ENSMUSG00000022772.13	pc	ENSG00000119231.11	pc	one-to-many
ENSMUSG00000070343.4	other	ENSG00000244192.1	other	many-to-many
ENSMUSG00000080816.2	other	ENSG00000241286.2	other	many-to-many
ENSMUSG00000115958.2	pc	ENSG00000170498.10	pc	many-to-many
ENSMUSG00000059669.9	pc	ENSG00000115750.17	pc	one-to-many
ENSMUSG00000103905.2	other	ENSG00000234927.1	other	many-to-many
ENSMUSG00000078153.4	pc	ENSG00000227462.1	other	many-to-many
ENSMUSG00000020755.10	pc	ENSG00000161526.15	pc	one-to-one
ENSMUSG00000046733.8	pc	ENSG00000013588.10	pc	one-to-one
ENSMUSG00000032307.17	pc	ENSG00000235583.2	other	many-to-many
ENSMUSG00000020964.16	pc	ENSG00000071537.14	pc	one-to-one
ENSMUSG00000034994.11	pc	ENSG00000167658.16	pc	one-to-many
ENSMUSG00000028307.10	pc	ENSG00000136872.21	pc	one-to-one
ENSMUSG00000024682.4	pc	ENSG00000134812.8	pc	one-to-one
ENSMUSG00000112697.2	other	ENSG00000260615.1	other	many-to-many
ENSMUSG00000109488.2	other	ENSG00000213985.4	other	many-to-many
ENSMUSG00000038843.19	pc	ENSG00000236474.1	other	many-to-many
