# Orthology table created using a modified version of ConnectOR (https://github.com/cobRNA/ConnectOR-optimized/)
# by Sasti Gopal Das
H_gene_id	H_gene_type	M_gene_id	M_gene_type	gencode_versions
ENSG00000270704.3	lncRNA	ENSMUSG00000096648.1	ncRNA	many-to-many
ENSG00000255502.5	lncRNA	ENSMUSG00000111503.1	lncRNA	one-to-one
ENSG00000245384.1	lncRNA	ENSMUSG00000104645.1	lncRNA	many-to-many
ENSG00000231110.1	lncRNA	ENSMUSG00000098640.1	pc	many-to-many
ENSG00000258377.1	lncRNA	ENSMUSG00000113149.1	pc	one-to-many
ENSG00000243926.1	lncRNA	ENSMUSG00000105397.1	other	many-to-many
ENSG00000255146.1	lncRNA	ENSMUSG00000091206.1	pc	many-to-many
ENSG00000240990.9	lncRNA	ENSMUSG00000098969.1	ncRNA	many-to-many
ENSG00000229021.2	lncRNA	ENSMUSG00000028943.18	pc	many-to-many
ENSG00000268362.5	lncRNA	ENSMUSG00000067931.5	pc	many-to-many
ENSG00000255248.7	lncRNA	ENSMUSG00000110469.1	pc	many-to-many
ENSG00000258414.1	lncRNA	ENSMUSG00000103704.1	lncRNA	one-to-one
ENSG00000236886.2	lncRNA	ENSMUSG00000101968.6	lncRNA	one-to-many
ENSG00000206337.10	lncRNA	ENSMUSG00000073411.11	pc	many-to-many
ENSG00000214900.9	lncRNA	ENSMUSG00000084126.1	other	many-to-many
ENSG00000189295.13	lncRNA	ENSMUSG00000096265.2	pc	many-to-many
ENSG00000248540.2	lncRNA	ENSMUSG00000090941.1	other	many-to-many
ENSG00000233016.6	lncRNA	ENSMUSG00000088746.1	ncRNA	many-to-many
ENSG00000271409.1	lncRNA	ENSMUSG00000093573.1	lncRNA	one-to-one
ENSG00000255248.7	lncRNA	ENSMUSG00000098031.1	other	many-to-many
ENSG00000233016.6	lncRNA	ENSMUSG00000088224.1	ncRNA	many-to-many
ENSG00000261069.3	lncRNA	ENSMUSG00000000948.16	pc	many-to-many
ENSG00000233016.6	lncRNA	ENSMUSG00000094824.1	ncRNA	many-to-many
ENSG00000280268.1	lncRNA	ENSMUSG00000062186.2	pc	many-to-many
ENSG00000231110.1	lncRNA	ENSMUSG00000085276.3	other	many-to-many
ENSG00000269956.1	lncRNA	ENSMUSG00000100081.1	lncRNA	one-to-many
ENSG00000269110.1	lncRNA	ENSMUSG00000069184.4	pc	one-to-many
ENSG00000273018.5	lncRNA	ENSMUSG00000047696.16	pc	many-to-many
ENSG00000273000.5	lncRNA	ENSMUSG00000017631.18	pc	many-to-many
ENSG00000269110.1	lncRNA	ENSMUSG00000115801.1	lncRNA	many-to-many
ENSG00000248671.7	lncRNA	ENSMUSG00000033533.14	pc	many-to-many
ENSG00000176075.7	lncRNA	ENSMUSG00000103243.1	pc	many-to-many
ENSG00000242588.5	lncRNA	ENSMUSG00000082248.1	other	many-to-many
ENSG00000272763.1	lncRNA	ENSMUSG00000078706.4	lncRNA	many-to-many
ENSG00000271983.1	lncRNA	ENSMUSG00000097016.2	lncRNA	one-to-one
ENSG00000214900.9	lncRNA	ENSMUSG00000098031.1	other	many-to-many
ENSG00000261069.3	lncRNA	ENSMUSG00000096082.1	ncRNA	many-to-many
ENSG00000255146.1	lncRNA	ENSMUSG00000091679.8	pc	many-to-many
ENSG00000260803.1	lncRNA	ENSMUSG00000112697.1	other	many-to-many
ENSG00000233016.6	lncRNA	ENSMUSG00000089514.1	ncRNA	many-to-many
ENSG00000246662.6	lncRNA	ENSMUSG00000104211.1	lncRNA	one-to-many
ENSG00000255384.1	lncRNA	ENSMUSG00000110773.1	lncRNA	one-to-one
ENSG00000197989.13	lncRNA	ENSMUSG00000081405.1	other	many-to-many
ENSG00000233016.6	lncRNA	ENSMUSG00000077613.1	ncRNA	many-to-many
ENSG00000215117.5	lncRNA	ENSMUSG00000103542.1	other	many-to-many
ENSG00000233016.6	lncRNA	ENSMUSG00000077196.1	ncRNA	many-to-many
ENSG00000197182.14	lncRNA	ENSMUSG00000065564.1	ncRNA	many-to-many
ENSG00000264577.1	lncRNA	ENSMUSG00000019437.17	pc	one-to-many
ENSG00000223482.7	lncRNA	ENSMUSG00000041915.8	pc	many-to-many
ENSG00000266268.5	lncRNA	ENSMUSG00000111297.1	other	many-to-many
ENSG00000272917.1	lncRNA	ENSMUSG00000047228.9	pc	many-to-many
ENSG00000224078.13	lncRNA	ENSMUSG00000095045.1	ncRNA	one-to-many
ENSG00000269110.1	lncRNA	ENSMUSG00000078500.3	pc	many-to-many
ENSG00000253985.1	lncRNA	ENSMUSG00000103296.1	lncRNA	one-to-many
ENSG00000272755.1	lncRNA	ENSMUSG00000099019.1	other	many-to-many
ENSG00000267827.5	lncRNA	ENSMUSG00000085101.7	lncRNA	many-to-many
ENSG00000255248.7	lncRNA	ENSMUSG00000097940.2	other	many-to-many
ENSG00000255248.7	lncRNA	ENSMUSG00000098177.1	other	many-to-many
ENSG00000231110.1	lncRNA	ENSMUSG00000090489.3	other	many-to-many
ENSG00000255427.1	lncRNA	ENSMUSG00000102686.1	lncRNA	one-to-one
ENSG00000269043.1	lncRNA	ENSMUSG00000051037.15	pc	many-to-many
ENSG00000258964.1	lncRNA	ENSMUSG00000021113.5	pc	many-to-many
ENSG00000260958.2	lncRNA	ENSMUSG00000035539.13	pc	one-to-many
ENSG00000254254.5	lncRNA	ENSMUSG00000085996.1	lncRNA	one-to-one
ENSG00000233016.6	lncRNA	ENSMUSG00000077644.1	ncRNA	many-to-many
ENSG00000231110.1	lncRNA	ENSMUSG00000081238.3	other	many-to-many
ENSG00000273018.5	lncRNA	ENSMUSG00000026774.11	pc	many-to-many
ENSG00000267002.2	lncRNA	ENSMUSG00000081998.1	other	many-to-many
ENSG00000227400.2	lncRNA	ENSMUSG00000114974.1	other	many-to-many
ENSG00000255146.1	lncRNA	ENSMUSG00000074164.12	other	many-to-many
ENSG00000278944.1	lncRNA	ENSMUSG00000097886.2	pc	many-to-many
ENSG00000235908.1	lncRNA	ENSMUSG00000084104.1	other	many-to-many
ENSG00000233175.2	lncRNA	ENSMUSG00000092371.1	lncRNA	one-to-one
ENSG00000237491.8	lncRNA	ENSMUSG00000001833.17	pc	one-to-many
ENSG00000243349.2	lncRNA	ENSMUSG00000072723.10	lncRNA	many-to-many
ENSG00000270141.3	lncRNA	ENSMUSG00000102505.1	lncRNA	many-to-many
ENSG00000269749.1	lncRNA	ENSMUSG00000078995.10	pc	many-to-many
ENSG00000245384.1	lncRNA	ENSMUSG00000097911.2	lncRNA	one-to-many
ENSG00000206344.7	lncRNA	ENSMUSG00000054128.16	pc	many-to-many
ENSG00000272755.1	lncRNA	ENSMUSG00000083803.1	other	many-to-many
ENSG00000269110.1	lncRNA	ENSMUSG00000078498.5	pc	many-to-many
ENSG00000284707.1	lncRNA	ENSMUSG00000029617.10	pc	many-to-many
ENSG00000260735.1	lncRNA	ENSMUSG00000022683.13	pc	one-to-many
ENSG00000187185.4	lncRNA	ENSMUSG00000110475.1	lncRNA	one-to-one
ENSG00000273189.1	lncRNA	ENSMUSG00000074129.13	pc	many-to-many
ENSG00000243349.2	lncRNA	ENSMUSG00000079324.11	pc	many-to-many
ENSG00000266268.5	lncRNA	ENSMUSG00000108019.1	other	many-to-many
ENSG00000250765.6	lncRNA	ENSMUSG00000005442.13	pc	many-to-many
ENSG00000283999.1	lncRNA	ENSMUSG00000024738.6	pc	many-to-many
ENSG00000284722.1	lncRNA	ENSMUSG00000057113.13	pc	many-to-many
ENSG00000214900.9	lncRNA	ENSMUSG00000081324.1	other	many-to-many
ENSG00000249859.9	lncRNA	ENSMUSG00000097039.8	lncRNA	many-to-many
ENSG00000247081.7	lncRNA	ENSMUSG00000097875.2	lncRNA	one-to-one
ENSG00000176728.7	lncRNA	ENSMUSG00000034748.16	pc	one-to-many
ENSG00000258450.1	lncRNA	ENSMUSG00000111425.1	other	many-to-many
ENSG00000243389.1	lncRNA	ENSMUSG00000037938.4	pc	many-to-many
ENSG00000232347.1	lncRNA	ENSMUSG00000100617.1	pc	many-to-many
ENSG00000255248.7	lncRNA	ENSMUSG00000098185.1	other	many-to-many
ENSG00000229852.2	lncRNA	ENSMUSG00000098650.1	pc	many-to-many
ENSG00000229240.8	lncRNA	ENSMUSG00000103412.1	lncRNA	one-to-one
ENSG00000243926.1	lncRNA	ENSMUSG00000102943.1	other	many-to-many
ENSG00000254671.2	lncRNA	ENSMUSG00000096993.3	lncRNA	one-to-one
ENSG00000255310.2	lncRNA	ENSMUSG00000035067.9	pc	one-to-many
ENSG00000239665.8	lncRNA	ENSMUSG00000108135.1	other	many-to-many
ENSG00000256717.1	lncRNA	ENSMUSG00000109844.2	lncRNA	one-to-many
ENSG00000242588.5	lncRNA	ENSMUSG00000082779.1	other	many-to-many
ENSG00000228639.6	lncRNA	ENSMUSG00000041674.16	lncRNA	one-to-many
ENSG00000204684.3	lncRNA	ENSMUSG00000037025.11	pc	many-to-many
ENSG00000224905.6	lncRNA	ENSMUSG00000058291.14	pc	one-to-many
ENSG00000283095.1	lncRNA	ENSMUSG00000098694.1	ncRNA	many-to-many
ENSG00000231110.1	lncRNA	ENSMUSG00000092577.1	other	many-to-many
ENSG00000205664.10	lncRNA	ENSMUSG00000021271.5	pc	one-to-many
ENSG00000234169.1	lncRNA	ENSMUSG00000104188.1	lncRNA	one-to-one
ENSG00000224267.1	lncRNA	ENSMUSG00000000804.14	pc	many-to-many
ENSG00000259001.3	lncRNA	ENSMUSG00000088383.1	ncRNA	many-to-many
ENSG00000233891.7	lncRNA	ENSMUSG00000033015.16	lncRNA	one-to-one
ENSG00000233016.6	lncRNA	ENSMUSG00000077144.1	ncRNA	many-to-many
ENSG00000233145.1	lncRNA	ENSMUSG00000099253.1	other	many-to-many
ENSG00000237310.1	lncRNA	ENSMUSG00000029446.14	pc	many-to-many
ENSG00000280156.1	lncRNA	ENSMUSG00000048697.4	pc	many-to-many
ENSG00000248540.2	lncRNA	ENSMUSG00000090142.2	other	many-to-many
ENSG00000233016.6	lncRNA	ENSMUSG00000089027.1	ncRNA	many-to-many
ENSG00000237813.3	lncRNA	ENSMUSG00000085264.1	lncRNA	one-to-one
ENSG00000273345.5	lncRNA	ENSMUSG00000020349.4	pc	many-to-many
ENSG00000231110.1	lncRNA	ENSMUSG00000080736.1	other	many-to-many
ENSG00000233145.1	lncRNA	ENSMUSG00000101551.1	other	many-to-many
ENSG00000235609.7	lncRNA	ENSMUSG00000048490.13	pc	one-to-many
ENSG00000259343.6	lncRNA	ENSMUSG00000087088.2	lncRNA	one-to-many
ENSG00000272264.1	lncRNA	ENSMUSG00000027506.15	pc	many-to-many
ENSG00000181798.2	lncRNA	ENSMUSG00000101685.1	other	many-to-many
ENSG00000233016.6	lncRNA	ENSMUSG00000087857.1	ncRNA	many-to-many
ENSG00000245685.6	lncRNA	ENSMUSG00000025422.9	pc	many-to-many
ENSG00000233016.6	lncRNA	ENSMUSG00000087715.1	ncRNA	many-to-many
ENSG00000224078.13	lncRNA	ENSMUSG00000093971.1	ncRNA	many-to-many
ENSG00000253553.5	lncRNA	ENSMUSG00000114733.1	other	one-to-many
ENSG00000237125.8	lncRNA	ENSMUSG00000108744.1	other	many-to-many
ENSG00000275210.1	lncRNA	ENSMUSG00000115267.1	pc	many-to-many
ENSG00000271474.1	lncRNA	ENSMUSG00000089737.1	lncRNA	one-to-one
ENSG00000264772.6	lncRNA	ENSMUSG00000063586.1	other	one-to-many
ENSG00000211683.3	lncRNA	ENSMUSG00000055013.15	pc	many-to-many
ENSG00000243926.1	lncRNA	ENSMUSG00000103011.1	other	many-to-many
ENSG00000278955.3	lncRNA	ENSMUSG00000034354.17	pc	one-to-many
ENSG00000227082.1	lncRNA	ENSMUSG00000018334.18	pc	one-to-many
ENSG00000265408.1	lncRNA	ENSMUSG00000031884.10	other	many-to-many
ENSG00000279297.1	lncRNA	ENSMUSG00000004651.6	pc	one-to-many
ENSG00000267586.6	lncRNA	ENSMUSG00000022090.10	pc	many-to-many
ENSG00000214900.9	lncRNA	ENSMUSG00000097883.1	other	many-to-many
ENSG00000214900.9	lncRNA	ENSMUSG00000083078.1	other	many-to-many
ENSG00000219665.8	lncRNA	ENSMUSG00000113295.1	lncRNA	many-to-many
ENSG00000283886.1	lncRNA	ENSMUSG00000027208.14	pc	one-to-many
ENSG00000240401.8	lncRNA	ENSMUSG00000032673.5	pc	one-to-many
ENSG00000279501.1	lncRNA	ENSMUSG00000020521.7	pc	many-to-many
ENSG00000283175.1	lncRNA	ENSMUSG00000109783.1	lncRNA	many-to-many
ENSG00000255248.7	lncRNA	ENSMUSG00000107674.1	other	many-to-many
ENSG00000260669.2	lncRNA	ENSMUSG00000038467.15	pc	many-to-many
ENSG00000267383.6	lncRNA	ENSMUSG00000057396.7	pc	many-to-many
ENSG00000268823.2	lncRNA	ENSMUSG00000074224.3	other	many-to-many
ENSG00000175061.17	lncRNA	ENSMUSG00000077457.1	ncRNA	many-to-many
ENSG00000280042.1	lncRNA	ENSMUSG00000022817.14	pc	one-to-many
ENSG00000278849.1	lncRNA	ENSMUSG00000020694.16	pc	many-to-many
ENSG00000268823.2	lncRNA	ENSMUSG00000040813.16	pc	many-to-many
ENSG00000273244.1	lncRNA	ENSMUSG00000110333.1	pc	many-to-many
ENSG00000149656.8	lncRNA	ENSMUSG00000034219.15	pc	many-to-many
ENSG00000283406.1	lncRNA	ENSMUSG00000043811.5	pc	many-to-many
ENSG00000233016.6	lncRNA	ENSMUSG00000088047.1	ncRNA	many-to-many
ENSG00000260599.1	lncRNA	ENSMUSG00000040936.15	pc	many-to-many
ENSG00000214915.3	lncRNA	ENSMUSG00000048573.9	pc	many-to-many
ENSG00000262117.5	lncRNA	ENSMUSG00000114184.1	other	many-to-many
ENSG00000284644.1	lncRNA	ENSMUSG00000108190.1	lncRNA	many-to-many
ENSG00000267383.6	lncRNA	ENSMUSG00000068962.7	pc	many-to-many
ENSG00000227896.2	lncRNA	ENSMUSG00000115007.1	lncRNA	one-to-one
ENSG00000279583.1	lncRNA	ENSMUSG00000033533.14	pc	many-to-many
ENSG00000255146.1	lncRNA	ENSMUSG00000093531.1	other	many-to-many
ENSG00000232347.1	lncRNA	ENSMUSG00000099615.1	other	many-to-many
ENSG00000233145.1	lncRNA	ENSMUSG00000098640.1	pc	many-to-many
ENSG00000196295.11	lncRNA	ENSMUSG00000024234.6	pc	many-to-many
ENSG00000248671.7	lncRNA	ENSMUSG00000074472.10	pc	many-to-many
ENSG00000242288.9	lncRNA	ENSMUSG00000055214.15	pc	many-to-many
ENSG00000233016.6	lncRNA	ENSMUSG00000087940.1	ncRNA	many-to-many
ENSG00000233429.9	lncRNA	ENSMUSG00000098749.1	ncRNA	one-to-many
ENSG00000272934.1	lncRNA	ENSMUSG00000048440.15	pc	many-to-many
ENSG00000214900.9	lncRNA	ENSMUSG00000110549.1	other	many-to-many
ENSG00000271880.1	lncRNA	ENSMUSG00000101356.1	lncRNA	many-to-many
ENSG00000224559.2	lncRNA	ENSMUSG00000020481.15	pc	many-to-many
ENSG00000219665.8	lncRNA	ENSMUSG00000089857.9	pc	many-to-many
ENSG00000254641.1	lncRNA	ENSMUSG00000043866.11	pc	one-to-many
ENSG00000255248.7	lncRNA	ENSMUSG00000078528.2	other	many-to-many
ENSG00000253301.5	lncRNA	ENSMUSG00000085180.1	lncRNA	many-to-many
ENSG00000266268.5	lncRNA	ENSMUSG00000083100.1	other	many-to-many
ENSG00000240990.9	lncRNA	ENSMUSG00000098683.1	ncRNA	many-to-many
ENSG00000254343.2	lncRNA	ENSMUSG00000022419.16	pc	one-to-many
ENSG00000268654.1	lncRNA	ENSMUSG00000051527.11	pc	many-to-many
ENSG00000231110.1	lncRNA	ENSMUSG00000082031.1	other	many-to-many
ENSG00000255248.7	lncRNA	ENSMUSG00000081221.4	other	many-to-many
ENSG00000228400.1	lncRNA	ENSMUSG00000100515.6	other	one-to-many
ENSG00000252690.3	lncRNA	ENSMUSG00000104618.1	ncRNA	many-to-many
ENSG00000240240.8	lncRNA	ENSMUSG00000000804.14	pc	many-to-many
ENSG00000242808.7	lncRNA	ENSMUSG00000084530.2	ncRNA	many-to-many
ENSG00000232347.1	lncRNA	ENSMUSG00000091594.2	pc	many-to-many
ENSG00000233016.6	lncRNA	ENSMUSG00000089279.1	ncRNA	many-to-many
ENSG00000233016.6	lncRNA	ENSMUSG00000077579.1	ncRNA	many-to-many
ENSG00000245685.6	lncRNA	ENSMUSG00000032425.15	pc	many-to-many
ENSG00000246174.7	lncRNA	ENSMUSG00000045799.6	other	many-to-many
ENSG00000233016.6	lncRNA	ENSMUSG00000077659.1	ncRNA	many-to-many
ENSG00000280156.1	lncRNA	ENSMUSG00000093376.1	pc	many-to-many
ENSG00000272755.1	lncRNA	ENSMUSG00000080928.1	other	many-to-many
ENSG00000248671.7	lncRNA	ENSMUSG00000067424.12	pc	many-to-many
ENSG00000224356.5	lncRNA	ENSMUSG00000041625.15	pc	one-to-many
ENSG00000264772.6	lncRNA	ENSMUSG00000065151.1	ncRNA	many-to-many
ENSG00000279472.1	lncRNA	ENSMUSG00000045062.4	pc	many-to-many
ENSG00000242790.1	lncRNA	ENSMUSG00000102883.1	lncRNA	one-to-one
ENSG00000266473.1	lncRNA	ENSMUSG00000059706.4	lncRNA	one-to-many
ENSG00000229021.2	lncRNA	ENSMUSG00000098381.1	ncRNA	many-to-many
ENSG00000284534.1	lncRNA	ENSMUSG00000033883.11	pc	many-to-many
ENSG00000234741.7	lncRNA	ENSMUSG00000105780.1	ncRNA	many-to-many
ENSG00000255146.1	lncRNA	ENSMUSG00000091260.1	pc	many-to-many
ENSG00000225930.3	lncRNA	ENSMUSG00000002546.16	pc	many-to-many
ENSG00000263089.1	lncRNA	ENSMUSG00000092399.1	lncRNA	one-to-one
ENSG00000259462.2	lncRNA	ENSMUSG00000109401.1	lncRNA	one-to-one
ENSG00000233145.1	lncRNA	ENSMUSG00000090489.3	other	many-to-many
ENSG00000244625.5	lncRNA	ENSMUSG00000098599.1	ncRNA	many-to-many
ENSG00000180910.7	lncRNA	ENSMUSG00000095852.7	pc	many-to-many
ENSG00000206337.10	lncRNA	ENSMUSG00000091373.4	other	many-to-many
ENSG00000266268.5	lncRNA	ENSMUSG00000086721.2	other	many-to-many
ENSG00000266268.5	lncRNA	ENSMUSG00000108424.1	other	many-to-many
ENSG00000266904.5	lncRNA	ENSMUSG00000042364.11	pc	many-to-many
ENSG00000206344.7	lncRNA	ENSMUSG00000079492.2	pc	many-to-many
ENSG00000284612.1	lncRNA	ENSMUSG00000102869.2	lncRNA	one-to-many
ENSG00000240963.1	lncRNA	ENSMUSG00000015961.8	pc	one-to-many
ENSG00000269043.1	lncRNA	ENSMUSG00000067931.5	pc	many-to-many
ENSG00000205885.7	lncRNA	ENSMUSG00000107552.1	lncRNA	one-to-one
ENSG00000280087.1	lncRNA	ENSMUSG00000040564.14	pc	one-to-many
ENSG00000255146.1	lncRNA	ENSMUSG00000092307.1	other	many-to-many
ENSG00000224905.6	lncRNA	ENSMUSG00000114923.1	pc	many-to-many
ENSG00000243349.2	lncRNA	ENSMUSG00000110685.1	other	many-to-many
ENSG00000258235.1	lncRNA	ENSMUSG00000104335.1	lncRNA	one-to-one
ENSG00000255248.7	lncRNA	ENSMUSG00000081721.3	other	many-to-many
ENSG00000253301.5	lncRNA	ENSMUSG00000053896.13	pc	many-to-many
ENSG00000269758.1	lncRNA	ENSMUSG00000059206.4	pc	many-to-many
ENSG00000203279.3	lncRNA	ENSMUSG00000075395.10	pc	many-to-many
ENSG00000243766.7	lncRNA	ENSMUSG00000098484.1	ncRNA	many-to-many
ENSG00000241860.6	lncRNA	ENSMUSG00000029752.12	pc	many-to-many
ENSG00000233016.6	lncRNA	ENSMUSG00000088098.1	ncRNA	many-to-many
ENSG00000228136.1	lncRNA	ENSMUSG00000039046.15	pc	many-to-many
ENSG00000163597.14	lncRNA	ENSMUSG00000065640.1	ncRNA	many-to-many
