# Orthology table created using a modified version of ConnectOR (https://github.com/cobRNA/ConnectOR-optimized/)					
# by Sasti Gopal Das					
H_gene_id	H_gene_type	M_gene_id	M_gene_type	orthology_type	gencode_versions
ENSG00000282849.2	lncRNA	ENSMUSG00000120728.2	lncRNA	one-to-one	GENCODE.v47vsM150
ENSG00000253227.3	lncRNA	ENSMUSG00000142739.1	lncRNA	one-to-one	GENCODE.v47vsM151
ENSG00000253837.1	lncRNA	ENSMUSG00000098975.9	lncRNA	many-to-many	GENCODE.v47vsM152
ENSG00000298509.1	lncRNA	ENSMUSG00000131553.1	lncRNA	one-to-one	GENCODE.v47vsM153
ENSG00000295521.1	lncRNA	ENSMUSG00000132781.1	lncRNA	many-to-many	GENCODE.v47vsM154
ENSG00000293799.1	lncRNA	ENSMUSG00000137959.1	lncRNA	one-to-one	GENCODE.v47vsM155
ENSG00000286527.2	lncRNA	ENSMUSG00000100315.8	lncRNA	one-to-one	GENCODE.v47vsM156
ENSG00000285608.1	lncRNA	ENSMUSG00000112437.3	lncRNA	one-to-many	GENCODE.v47vsM157
ENSG00000224243.3	lncRNA	ENSMUSG00000047935.20	lncRNA	one-to-many	GENCODE.v47vsM158
ENSG00000234948.3	lncRNA	ENSMUSG00000130431.1	lncRNA	one-to-many	GENCODE.v47vsM159
ENSG00000225982.2	lncRNA	ENSMUSG00000143860.1	lncRNA	one-to-many	GENCODE.v47vsM160
ENSG00000258572.2	lncRNA	ENSMUSG00000136131.1	lncRNA	one-to-one	GENCODE.v47vsM161
ENSG00000258294.6	lncRNA	ENSMUSG00000104006.2	lncRNA	one-to-one	GENCODE.v47vsM162
ENSG00000260025.3	lncRNA	ENSMUSG00000117648.3	lncRNA	one-to-many	GENCODE.v47vsM163
ENSG00000260852.2	lncRNA	ENSMUSG00000121230.2	lncRNA	one-to-one	GENCODE.v47vsM164
ENSG00000223597.4	lncRNA	ENSMUSG00000120037.2	lncRNA	many-to-many	GENCODE.v47vsM165
ENSG00000304361.1	lncRNA	ENSMUSG00000110216.3	lncRNA	one-to-many	GENCODE.v47vsM166
ENSG00000228639.9	lncRNA	ENSMUSG00000041674.18	lncRNA	many-to-many	GENCODE.v47vsM167
ENSG00000289441.2	lncRNA	ENSMUSG00000102057.2	lncRNA	one-to-many	GENCODE.v47vsM168
ENSG00000250634.8	lncRNA	ENSMUSG00000135933.1	lncRNA	many-to-many	GENCODE.v47vsM169
ENSG00000295433.1	lncRNA	ENSMUSG00000079671.11	lncRNA	one-to-many	GENCODE.v47vsM170
ENSG00000250602.7	lncRNA	ENSMUSG00000122473.1	lncRNA	one-to-many	GENCODE.v47vsM171
ENSG00000308199.1	lncRNA	ENSMUSG00000141516.1	lncRNA	one-to-one	GENCODE.v47vsM172
ENSG00000232352.4	lncRNA	ENSMUSG00000140693.1	lncRNA	one-to-one	GENCODE.v47vsM173
ENSG00000294616.1	lncRNA	ENSMUSG00000110790.3	lncRNA	one-to-many	GENCODE.v47vsM174
ENSG00000240057.9	lncRNA	ENSMUSG00000132209.1	lncRNA	one-to-one	GENCODE.v47vsM175
ENSG00000228817.4	lncRNA	ENSMUSG00000126209.1	lncRNA	one-to-one	GENCODE.v47vsM176
ENSG00000278022.2	lncRNA	ENSMUSG00000127125.1	lncRNA	one-to-one	GENCODE.v47vsM177
ENSG00000307859.1	lncRNA	ENSMUSG00000114198.2	lncRNA	one-to-one	GENCODE.v47vsM178
ENSG00000267213.5	lncRNA	ENSMUSG00000126551.1	lncRNA	one-to-many	GENCODE.v47vsM179
ENSG00000236869.5	lncRNA	ENSMUSG00000097322.10	lncRNA	one-to-one	GENCODE.v47vsM180
ENSG00000225339.5	lncRNA	ENSMUSG00000116884.3	lncRNA	one-to-one	GENCODE.v47vsM181
ENSG00000296964.1	lncRNA	ENSMUSG00000132897.1	lncRNA	many-to-many	GENCODE.v47vsM182
ENSG00000294853.1	lncRNA	ENSMUSG00000120596.2	lncRNA	one-to-many	GENCODE.v47vsM183
ENSG00000302250.1	lncRNA	ENSMUSG00000102144.3	lncRNA	one-to-one	GENCODE.v47vsM184
ENSG00000302968.1	lncRNA	ENSMUSG00000098784.4	lncRNA	many-to-many	GENCODE.v47vsM185
ENSG00000234323.11	lncRNA	ENSMUSG00000125105.1	lncRNA	one-to-many	GENCODE.v47vsM186
ENSG00000224184.8	lncRNA	ENSMUSG00000113975.4	lncRNA	one-to-one	GENCODE.v47vsM187
ENSG00000289872.2	lncRNA	ENSMUSG00000131611.1	lncRNA	one-to-one	GENCODE.v47vsM188
ENSG00000235903.12	lncRNA	ENSMUSG00000138147.1	lncRNA	one-to-many	GENCODE.v47vsM189
ENSG00000260473.3	lncRNA	ENSMUSG00000122850.1	lncRNA	one-to-many	GENCODE.v47vsM190
ENSG00000301447.1	lncRNA	ENSMUSG00000126743.1	lncRNA	one-to-one	GENCODE.v47vsM191
ENSG00000293482.2	lncRNA	ENSMUSG00000112274.4	lncRNA	many-to-many	GENCODE.v47vsM192
ENSG00000298576.1	lncRNA	ENSMUSG00000126929.1	lncRNA	one-to-many	GENCODE.v47vsM193
ENSG00000280350.2	lncRNA	ENSMUSG00000087521.4	lncRNA	one-to-many	GENCODE.v47vsM194
ENSG00000298753.1	lncRNA	ENSMUSG00000116295.4	lncRNA	one-to-one	GENCODE.v47vsM195
ENSG00000253164.6	lncRNA	ENSMUSG00000137466.1	lncRNA	one-to-one	GENCODE.v47vsM196
ENSG00000298151.1	lncRNA	ENSMUSG00000084861.3	lncRNA	one-to-many	GENCODE.v47vsM197
ENSG00000233791.8	lncRNA	ENSMUSG00000121237.2	lncRNA	one-to-one	GENCODE.v47vsM198
ENSG00000262873.3	lncRNA	ENSMUSG00000085207.4	lncRNA	one-to-many	GENCODE.v47vsM199
ENSG00000259912.2	lncRNA	ENSMUSG00000098534.3	lncRNA	one-to-many	GENCODE.v47vsM200
ENSG00000253104.1	lncRNA	ENSMUSG00000103296.2	lncRNA	one-to-many	GENCODE.v47vsM201
ENSG00000284240.2	lncRNA	ENSMUSG00000129407.1	lncRNA	one-to-one	GENCODE.v47vsM202
ENSG00000290722.2	lncRNA	ENSMUSG00000142527.1	lncRNA	many-to-many	GENCODE.v47vsM203
ENSG00000290438.2	lncRNA	ENSMUSG00000121336.2	lncRNA	many-to-many	GENCODE.v47vsM204
ENSG00000228741.2	lncRNA	ENSMUSG00000101797.4	lncRNA	one-to-many	GENCODE.v47vsM205
ENSG00000308793.1	lncRNA	ENSMUSG00000109954.2	lncRNA	one-to-many	GENCODE.v47vsM206
ENSG00000306369.1	lncRNA	ENSMUSG00000141788.1	lncRNA	one-to-many	GENCODE.v47vsM207
ENSG00000306824.1	lncRNA	ENSMUSG00000123345.1	lncRNA	one-to-one	GENCODE.v47vsM208
ENSG00000304353.1	lncRNA	ENSMUSG00000130473.1	lncRNA	one-to-one	GENCODE.v47vsM209
ENSG00000224358.1	lncRNA	ENSMUSG00000121275.2	lncRNA	one-to-one	GENCODE.v47vsM210
ENSG00000290082.2	lncRNA	ENSMUSG00000131702.1	lncRNA	one-to-one	GENCODE.v47vsM211
ENSG00000260874.6	lncRNA	ENSMUSG00000134896.1	lncRNA	many-to-many	GENCODE.v47vsM212
ENSG00000270052.1	lncRNA	ENSMUSG00000124923.1	lncRNA	one-to-one	GENCODE.v47vsM213
ENSG00000249695.6	lncRNA	ENSMUSG00000139156.1	lncRNA	one-to-many	GENCODE.v47vsM214
ENSG00000297888.1	lncRNA	ENSMUSG00000128372.1	lncRNA	one-to-one	GENCODE.v47vsM215
ENSG00000300026.1	lncRNA	ENSMUSG00000107012.2	lncRNA	many-to-many	GENCODE.v47vsM216
ENSG00000204684.5	lncRNA	ENSMUSG00000086141.10	lncRNA	one-to-many	GENCODE.v47vsM217
ENSG00000297932.1	lncRNA	ENSMUSG00000128705.1	lncRNA	one-to-many	GENCODE.v47vsM218
ENSG00000228192.11	lncRNA	ENSMUSG00000142199.1	lncRNA	many-to-many	GENCODE.v47vsM219
ENSG00000304501.1	lncRNA	ENSMUSG00000111521.3	lncRNA	one-to-many	GENCODE.v47vsM220
ENSG00000227145.3	lncRNA	ENSMUSG00000104998.2	lncRNA	one-to-many	GENCODE.v47vsM221
ENSG00000293047.2	lncRNA	ENSMUSG00000139314.1	lncRNA	many-to-many	GENCODE.v47vsM222
ENSG00000293165.1	lncRNA	ENSMUSG00000130727.1	lncRNA	many-to-many	GENCODE.v47vsM223
ENSG00000286990.1	lncRNA	ENSMUSG00000137881.1	lncRNA	one-to-one	GENCODE.v47vsM224
ENSG00000310209.1	lncRNA	ENSMUSG00000120043.2	lncRNA	one-to-many	GENCODE.v47vsM225
ENSG00000286626.3	lncRNA	ENSMUSG00000134028.1	lncRNA	one-to-many	GENCODE.v47vsM226
ENSG00000236700.9	lncRNA	ENSMUSG00000126577.1	lncRNA	one-to-many	GENCODE.v47vsM227
ENSG00000235532.3	lncRNA	ENSMUSG00000115821.3	lncRNA	one-to-many	GENCODE.v47vsM228
ENSG00000294251.1	lncRNA	ENSMUSG00000120918.2	lncRNA	one-to-many	GENCODE.v47vsM229
ENSG00000279365.1	lncRNA	ENSMUSG00000136983.1	lncRNA	one-to-many	GENCODE.v47vsM230
ENSG00000308176.1	lncRNA	ENSMUSG00000108811.3	lncRNA	one-to-one	GENCODE.v47vsM231
ENSG00000303331.1	lncRNA	ENSMUSG00000109436.3	lncRNA	one-to-one	GENCODE.v47vsM232
ENSG00000233922.5	lncRNA	ENSMUSG00000102522.2	lncRNA	one-to-one	GENCODE.v47vsM233
ENSG00000286675.2	lncRNA	ENSMUSG00000139868.1	lncRNA	one-to-one	GENCODE.v47vsM234
ENSG00000308473.1	lncRNA	ENSMUSG00000102923.4	lncRNA	one-to-one	GENCODE.v47vsM235
ENSG00000257346.2	lncRNA	ENSMUSG00000116033.3	lncRNA	one-to-one	GENCODE.v47vsM236
ENSG00000240498.10	lncRNA	ENSMUSG00000086035.4	lncRNA	many-to-many	GENCODE.v47vsM237
ENSG00000298097.1	lncRNA	ENSMUSG00000119992.2	lncRNA	one-to-many	GENCODE.v47vsM238
ENSG00000226816.4	lncRNA	ENSMUSG00000102869.5	lncRNA	one-to-many	GENCODE.v47vsM239
ENSG00000267383.10	lncRNA	ENSMUSG00000129055.1	lncRNA	many-to-many	GENCODE.v47vsM240
ENSG00000286011.2	lncRNA	ENSMUSG00000130926.1	lncRNA	one-to-many	GENCODE.v47vsM241
ENSG00000247796.3	lncRNA	ENSMUSG00000139228.1	lncRNA	one-to-one	GENCODE.v47vsM242
ENSG00000287192.1	lncRNA	ENSMUSG00000131604.1	lncRNA	one-to-one	GENCODE.v47vsM243
ENSG00000249673.10	lncRNA	ENSMUSG00000085166.3	lncRNA	one-to-one	GENCODE.v47vsM244
ENSG00000203620.3	lncRNA	ENSMUSG00000086369.10	lncRNA	one-to-one	GENCODE.v47vsM245
ENSG00000229533.1	lncRNA	ENSMUSG00000114082.3	lncRNA	one-to-one	GENCODE.v47vsM246
ENSG00000304379.1	lncRNA	ENSMUSG00000110216.3	lncRNA	one-to-many	GENCODE.v47vsM247
ENSG00000225945.2	lncRNA	ENSMUSG00000117371.4	lncRNA	one-to-one	GENCODE.v47vsM248
ENSG00000287660.2	lncRNA	ENSMUSG00000140728.1	lncRNA	one-to-one	GENCODE.v47vsM249
ENSG00000233621.4	lncRNA	ENSMUSG00000120223.2	lncRNA	one-to-many	GENCODE.v47vsM250
ENSG00000266014.3	lncRNA	ENSMUSG00000100430.4	lncRNA	one-to-one	GENCODE.v47vsM251
ENSG00000286307.1	lncRNA	ENSMUSG00000103101.2	lncRNA	one-to-half	GENCODE.v47vsM252
ENSG00000293309.2	lncRNA	ENSMUSG00000111657.3	lncRNA	many-to-many	GENCODE.v47vsM253
ENSG00000307487.1	lncRNA	ENSMUSG00000134120.1	lncRNA	one-to-many	GENCODE.v47vsM254
ENSG00000248517.1	lncRNA	ENSMUSG00000123448.1	lncRNA	one-to-one	GENCODE.v47vsM255
ENSG00000287218.1	lncRNA	ENSMUSG00000103768.2	lncRNA	one-to-many	GENCODE.v47vsM256
ENSG00000251377.3	lncRNA	ENSMUSG00000128700.1	lncRNA	one-to-one	GENCODE.v47vsM257
ENSG00000224842.3	lncRNA	ENSMUSG00000052951.7	lncRNA	one-to-one	GENCODE.v47vsM258
ENSG00000295655.1	lncRNA	ENSMUSG00000124551.1	lncRNA	one-to-one	GENCODE.v47vsM259
ENSG00000258630.4	lncRNA	ENSMUSG00000021101.4	lncRNA	one-to-one	GENCODE.v47vsM260
ENSG00000279807.1	lncRNA	ENSMUSG00000122269.1	lncRNA	one-to-one	GENCODE.v47vsM261
ENSG00000261455.2	lncRNA	ENSMUSG00000101856.3	lncRNA	one-to-one	GENCODE.v47vsM262
ENSG00000272568.7	lncRNA	ENSMUSG00000108175.3	lncRNA	one-to-many	GENCODE.v47vsM263
ENSG00000263412.4	lncRNA	ENSMUSG00000130248.1	lncRNA	one-to-many	GENCODE.v47vsM264
ENSG00000287038.4	lncRNA	ENSMUSG00000084898.4	lncRNA	one-to-one	GENCODE.v47vsM265
ENSG00000278607.4	lncRNA	ENSMUSG00000118385.2	lncRNA	one-to-one	GENCODE.v47vsM266
ENSG00000294962.1	lncRNA	ENSMUSG00000126965.1	lncRNA	one-to-one	GENCODE.v47vsM267
ENSG00000241295.1	lncRNA	ENSMUSG00000102967.2	lncRNA	one-to-one	GENCODE.v47vsM268
ENSG00000309826.1	lncRNA	ENSMUSG00000087196.4	lncRNA	one-to-many	GENCODE.v47vsM269
ENSG00000310340.1	lncRNA	ENSMUSG00000144113.1	lncRNA	one-to-one	GENCODE.v47vsM270
ENSG00000287222.2	lncRNA	ENSMUSG00000142203.1	lncRNA	one-to-many	GENCODE.v47vsM271
ENSG00000297876.1	lncRNA	ENSMUSG00000116256.3	lncRNA	one-to-many	GENCODE.v47vsM272
ENSG00000296962.1	lncRNA	ENSMUSG00000137637.1	lncRNA	one-to-one	GENCODE.v47vsM273
ENSG00000290708.1	lncRNA	ENSMUSG00000087358.11	lncRNA	one-to-many	GENCODE.v47vsM274
ENSG00000293224.2	lncRNA	ENSMUSG00000132260.1	lncRNA	many-to-many	GENCODE.v47vsM275
ENSG00000253320.8	lncRNA	ENSMUSG00000115546.2	lncRNA	one-to-one	GENCODE.v47vsM276
ENSG00000233620.6	lncRNA	ENSMUSG00000137113.1	lncRNA	one-to-one	GENCODE.v47vsM277
ENSG00000308516.1	lncRNA	ENSMUSG00000120766.2	lncRNA	one-to-one	GENCODE.v47vsM278
ENSG00000275807.2	lncRNA	ENSMUSG00000141936.1	lncRNA	one-to-one	GENCODE.v47vsM279
ENSG00000260213.6	lncRNA	ENSMUSG00000125903.1	lncRNA	one-to-one	GENCODE.v47vsM280
ENSG00000293503.2	lncRNA	ENSMUSG00000121867.2	lncRNA	many-to-many	GENCODE.v47vsM281
